batch_id,scenario,scenario_family,profile,run_index,seed,topology_initial,topology_final_detected,steps,a,b,c,lambda_damping,alpha_cognition,mu_cognition,k_D,k_C,k_T,k_b,break_condition_margin,f_min,kappa_min_protected,psi_lambda,psi_weight_profile,psi_threshold,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime,message_loss,final_T_mean,final_T_min,final_D_mean,final_C_mean,final_I_mean,final_S_network,final_G_formal,final_G_effective,collapse_share_peak,sustained_ignition,ignition_onset_step,trigger_A_count,trigger_A_first_step,trigger_A_source,collapse30_event_first_step,collapse40_event_first_step,cluster35_event_first_step,t_mean30_event_first_step,s_network35_event_first_step,trigger_A_lead_to_collapse30,trigger_A_lead_to_collapse40,trigger_A_lead_to_cluster35,trigger_A_lead_to_t_mean30,trigger_A_lead_to_s_network35,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,trigger_B_count,trigger_B_first_step,trigger_C_count,trigger_D_count,false_stability_steps,async_false_stability_steps,final_hub1_S,final_hub2_S,final_hub3_S,min_hub1_S,min_hub2_S,min_hub3_S,external_intervention_count,resource_exhaustion_step,resource_floor_steps,max_unmet_recovery_demand,max_routing_delay_loss,routing_delay_steps,reclassification_latency_steps,star_adjacency_persist_steps,topology_wrong_monitoring_steps,centralizing_wrong_monitoring_steps,star_wrong_monitoring_steps,topology_false_stability_steps,max_wrong_monitoring_window,hub_degree_min,hub_degree_max,hub_degree_imbalance
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,3,10143,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.148669,0.999623,0.024072,0.156964,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,96,96,,99,80,16,16,,19,0,1,0,0,,0,55,0,0,0.167613,,,0.088836,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,4,10144,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.136701,0.999791,0.024657,0.157822,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,95,96,,99,80,15,16,,19,0,1,0,0,,0,55,0,0,0.17076,,,0.088934,,,0,100,28,0.00215,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,5,10145,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.14838,0.999981,0.025,0.157722,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,96,96,,100,80,16,16,,20,0,1,0,0,,0,54,0,0,0.164966,,,0.089075,,,0,101,28,0.002032,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,6,10146,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.153238,0.999846,0.024985,0.156431,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,96,96,,99,80,16,16,,19,0,1,0,0,,0,52,0,0,0.165651,,,0.088987,,,0,100,29,0.002236,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,7,10147,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.138208,0.999749,0.023472,0.159784,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,95,96,,99,80,15,16,,19,0,1,0,0,,0,54,0,0,0.169523,,,0.088938,,,0,100,60,0.002215,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,8,10148,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.143642,0.999618,0.023689,0.159078,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,95,96,,99,80,15,16,,19,0,1,0,0,,0,55,0,0,0.171698,,,0.088713,,,0,100,28,0.002183,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,9,10149,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.127788,0.998866,0.02652,0.162253,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,96,96,,100,80,16,16,,20,0,1,0,0,,0,56,0,0,0.184713,,,0.089266,,,0,100,29,0.002028,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,0,10150,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.162045,1.0,0.0,0.149829,0.0,0.0,1.0,1,29,131,29,C04_S_THRESHOLD,28,29,,30,35,-1,0,,1,6,0,0,0,,0,125,0,0,0.160193,,,0.048559,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,1,10151,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.163938,1.0,0.0,0.152286,0.0,0.0,1.0,1,30,130,30,C04_S_THRESHOLD,28,30,,31,35,-2,0,,1,5,0,0,0,,0,125,0,0,0.155846,,,0.048596,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,2,10152,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.148205,1.0,0.0,0.154181,0.0,0.0,1.0,1,26,133,27,C04_S_THRESHOLD,25,26,,27,33,-2,-1,,0,6,0,0,0,,0,127,1,0,0.165947,,,0.048554,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,3,10153,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.171773,1.0,0.0,0.149911,0.0,0.0,1.0,1,28,131,29,C04_S_THRESHOLD,27,28,,30,34,-2,-1,,1,5,0,0,0,,0,125,0,0,0.157431,,,0.048516,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,4,10154,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.148079,1.0,0.0,0.153397,0.0,0.0,1.0,1,28,131,29,C04_S_THRESHOLD,27,28,,29,34,-2,-1,,0,5,0,0,0,,0,125,0,0,0.166942,,,0.048599,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,5,10155,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.162609,1.0,0.0,0.150211,0.0,0.0,1.0,1,26,132,28,C04_S_THRESHOLD,26,26,,29,34,-2,-2,,1,6,0,0,0,,0,126,0,0,0.159211,,,0.048487,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,6,10156,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.158678,1.0,0.0,0.149001,0.0,0.0,1.0,1,26,133,27,C04_S_THRESHOLD,26,26,,27,33,-1,-1,,0,6,0,0,0,,0,128,0,0,0.165525,,,0.048616,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,7,10157,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.159376,1.0,0.0,0.152008,0.0,0.0,1.0,1,29,130,30,C04_S_THRESHOLD,28,29,,30,35,-2,-1,,0,5,0,0,0,,0,124,0,0,0.163682,,,0.048335,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,high_stress,8,10158,ring_mesh,star_adjacent,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.151221,1.0,0.0,0.151188,0.0,0.0,1.0,1,27,132,28,C04_S_THRESHOLD,26,27,,29,34,-2,-1,,1,6,0,0,0,,0,126,0,0,0.165986,,,0.048507,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
