batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,14.6,15.0,13.0,16.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,7.9,8.0,5.0,9.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,13.0,13.0,12.0,14.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,15.8,15.0,15.0,17.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,10.1,10.0,9.0,11.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,14.9,15.0,11.0,17.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,8.6,8.0,7.0,10.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,10.4,10.0,9.0,12.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,12.7,12.0,12.0,14.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,6.7,7.0,5.0,8.0,0.0
