variant,weight_profile,psi_threshold,detected_tpr,on_time_tpr,missed_rate,false_positive_rate,avg_lead_steps,median_lead_steps,accepted_candidate
with_regime_original,trust_stability,0.6,0.5,0.0625,0.5,0.0,0.0,0.0,0
no_regime_ablation,trust_stability,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,trust_stability,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,trust_stability,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,trust_stability,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,trust_stability,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,trust_stability,0.2,1.0,1.0,0.0,0.3,25.625,25.0,0
no_regime_ablation,trust_stability,0.22,1.0,1.0,0.0,0.0,18.25,17.0,1
no_regime_ablation,trust_stability,0.24,1.0,1.0,0.0,0.0,15.5875,14.0,1
no_regime_ablation,trust_stability,0.26,1.0,1.0,0.0,0.0,13.55,12.0,1
no_regime_ablation,trust_stability,0.28,1.0,1.0,0.0,0.0,11.9125,10.0,1
no_regime_ablation,trust_stability,0.3,1.0,1.0,0.0,0.0,10.4375,9.0,1
no_regime_ablation,trust_stability,0.32,1.0,1.0,0.0,0.0,9.1125,8.0,1
no_regime_ablation,trust_stability,0.34,1.0,1.0,0.0,0.0,7.925,7.0,1
no_regime_ablation,trust_stability,0.36,1.0,1.0,0.0,0.0,6.5625,5.0,1
no_regime_ablation,trust_stability,0.38,1.0,1.0,0.0,0.0,3.775,3.0,1
no_regime_ablation,trust_stability,0.4,1.0,0.5375,0.0,0.0,3.069767,3.0,0
no_regime_ablation,trust_stability,0.42,0.75,0.5,0.25,0.0,2.575,2.0,0
no_regime_ablation,trust_stability,0.44,0.75,0.5,0.25,0.0,1.75,1.0,0
no_regime_ablation,trust_stability,0.46,0.75,0.475,0.25,0.0,1.105263,1.0,0
no_regime_ablation,trust_stability,0.48,0.75,0.35,0.25,0.0,0.714286,0.0,0
no_regime_ablation,trust_stability,0.5,0.5,0.2125,0.5,0.0,0.588235,0.0,0
no_regime_ablation,trust_stability,0.52,0.5,0.1,0.5,0.0,0.375,0.0,0
no_regime_ablation,trust_stability,0.54,0.5,0.0375,0.5,0.0,0.0,0.0,0
no_regime_ablation,trust_stability,0.56,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,trust_stability,0.58,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,trust_stability,0.6,0.5,0.0,0.5,0.0,0.0,0.0,0
with_regime_original,regime_heavy,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.2,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,regime_heavy,0.22,1.0,1.0,0.0,0.0,19.5,20.0,1
with_regime_original,regime_heavy,0.24,1.0,1.0,0.0,0.0,14.2875,13.0,1
with_regime_original,regime_heavy,0.26,1.0,1.0,0.0,0.0,11.7875,10.0,1
with_regime_original,regime_heavy,0.28,1.0,1.0,0.0,0.0,9.75,9.0,1
with_regime_original,regime_heavy,0.3,1.0,1.0,0.0,0.0,7.8625,7.0,1
with_regime_original,regime_heavy,0.32,1.0,1.0,0.0,0.0,6.175,5.0,1
with_regime_original,regime_heavy,0.34,1.0,1.0,0.0,0.0,5.4625,5.0,1
with_regime_original,regime_heavy,0.36,1.0,1.0,0.0,0.0,4.85,4.0,1
with_regime_original,regime_heavy,0.38,1.0,1.0,0.0,0.0,4.375,4.0,1
with_regime_original,regime_heavy,0.4,1.0,1.0,0.0,0.0,4.1125,4.0,1
with_regime_original,regime_heavy,0.42,1.0,1.0,0.0,0.0,3.85,3.0,1
with_regime_original,regime_heavy,0.44,1.0,1.0,0.0,0.0,2.225,2.0,1
with_regime_original,regime_heavy,0.46,0.9,0.5,0.1,0.0,1.2,1.0,0
with_regime_original,regime_heavy,0.48,0.75,0.5,0.25,0.0,1.2,1.0,0
with_regime_original,regime_heavy,0.5,0.75,0.5,0.25,0.0,1.15,1.0,0
with_regime_original,regime_heavy,0.52,0.75,0.475,0.25,0.0,0.763158,1.0,0
with_regime_original,regime_heavy,0.54,0.75,0.3125,0.25,0.0,0.68,0.0,0
with_regime_original,regime_heavy,0.56,0.625,0.175,0.375,0.0,0.571429,0.0,0
with_regime_original,regime_heavy,0.58,0.5,0.1,0.5,0.0,0.0,0.0,0
with_regime_original,regime_heavy,0.6,0.5,0.05,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,regime_heavy,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,regime_heavy,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,regime_heavy,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,regime_heavy,0.18,1.0,1.0,0.0,0.025,21.35,23.0,1
no_regime_ablation,regime_heavy,0.2,1.0,1.0,0.0,0.0,14.8,14.0,1
no_regime_ablation,regime_heavy,0.22,1.0,1.0,0.0,0.0,12.0875,11.0,1
no_regime_ablation,regime_heavy,0.24,1.0,1.0,0.0,0.0,9.9125,9.0,1
no_regime_ablation,regime_heavy,0.26,1.0,1.0,0.0,0.0,7.925,7.0,1
no_regime_ablation,regime_heavy,0.28,1.0,0.9625,0.0,0.0,4.142857,4.0,1
no_regime_ablation,regime_heavy,0.3,0.875,0.5,0.125,0.0,4.325,4.0,0
no_regime_ablation,regime_heavy,0.32,0.75,0.5,0.25,0.0,3.175,3.0,0
no_regime_ablation,regime_heavy,0.34,0.75,0.5,0.25,0.0,2.025,2.0,0
no_regime_ablation,regime_heavy,0.36,0.75,0.45,0.25,0.0,1.194444,1.0,0
no_regime_ablation,regime_heavy,0.38,0.75,0.2625,0.25,0.0,0.952381,1.0,0
no_regime_ablation,regime_heavy,0.4,0.625,0.125,0.375,0.0,0.8,1.0,0
no_regime_ablation,regime_heavy,0.42,0.5,0.05,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.44,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.46,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.48,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.52,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.54,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.56,0.3125,0.0,0.6875,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.58,0.25,0.0,0.75,0.0,0.0,0.0,0
no_regime_ablation,regime_heavy,0.6,0.25,0.0,0.75,0.0,0.0,0.0,0
