batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,lead_steps,psi_score,non_regime_score,term_t,term_d,term_g,term_s,term_regime,term_variance,regime_share_of_score,collapse_share_at_detect,s_network_at_detect,cluster_variance_at_detect,regime_weight_at_detect
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,1,8391,1,87,76,11,0.300112,0.285112,0.055666,0.080053,0.0,0.147368,0.015,0.002024,0.049981,0.15,0.263158,0.020239,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,2,8392,1,86,76,10,0.300182,0.285182,0.054326,0.080925,0.0,0.148273,0.015,0.001657,0.04997,0.116667,0.258634,0.016574,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,3,8393,1,87,76,11,0.302462,0.287462,0.05509,0.080573,0.0,0.149804,0.015,0.001996,0.049593,0.133333,0.250982,0.019961,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,4,8394,1,88,78,10,0.303803,0.288803,0.056242,0.080862,0.0,0.150128,0.015,0.001571,0.049374,0.116667,0.249361,0.015712,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,5,8395,1,87,77,10,0.304763,0.289763,0.05649,0.080627,0.0,0.150583,0.015,0.002063,0.049219,0.15,0.247084,0.020628,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,6,8396,1,87,77,10,0.3034,0.2884,0.054995,0.081117,0.0,0.15038,0.015,0.001908,0.04944,0.133333,0.248102,0.019083,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,7,8397,1,87,73,14,0.331036,0.266036,0.051292,0.077919,0.0,0.135172,0.065,0.001654,0.196353,0.2,0.324142,0.01654,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,8,8398,1,88,78,10,0.303209,0.288209,0.0537,0.080948,0.0,0.151841,0.015,0.00172,0.049471,0.1,0.240797,0.017204,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,9,8399,1,87,76,11,0.301711,0.286711,0.057392,0.080878,0.0,0.146683,0.015,0.001759,0.049716,0.15,0.266585,0.017588,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,0,8400,1,60,54,6,0.303908,0.288908,0.058987,0.074532,0.00066,0.152734,0.015,0.001995,0.049357,0.15,0.236332,0.019948,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,1,8401,1,61,55,6,0.302492,0.287492,0.055448,0.075726,0.000465,0.153963,0.015,0.00189,0.049588,0.116667,0.230184,0.018903,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,2,8402,1,61,55,6,0.303363,0.288363,0.057329,0.074323,0.000817,0.153971,0.015,0.001923,0.049446,0.133333,0.230147,0.019229,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,3,8403,1,61,55,6,0.302654,0.287654,0.056118,0.075366,0.000587,0.153808,0.015,0.001774,0.049562,0.116667,0.230961,0.017738,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,4,8404,1,59,54,5,0.304842,0.289842,0.060506,0.073736,0.001178,0.152656,0.015,0.001767,0.049206,0.15,0.236721,0.017671,0.15
