batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps,accepted_candidate,target_threshold_candidate,recommended_independent_candidate,recommended_strict_ablation_candidate
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.5,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,2.527778,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.52,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,3.35,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.54,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,4.65,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.56,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,6.3,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.58,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,8.05,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.6,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,10.025,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.1,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.12,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.14,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.16,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
