batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,detected_before_or_at_event,false_positive,lead_steps,lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,6,8366,1,99,0,1,0,99,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,7,8367,1,97,0,1,0,97,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,8,8368,1,92,0,1,0,92,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,9,8369,1,97,0,1,0,97,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,0,8370,1,66,0,1,0,66,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,1,8371,1,66,0,1,0,66,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,2,8372,1,65,0,1,0,65,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,3,8373,1,66,0,1,0,66,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,4,8374,1,67,0,1,0,67,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,5,8375,1,67,0,1,0,67,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,6,8376,1,62,0,1,0,62,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,7,8377,1,67,0,1,0,67,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,8,8378,1,66,0,1,0,66,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,mid_stress,9,8379,1,67,0,1,0,67,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,0,8380,1,27,0,1,0,27,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,1,8381,1,25,0,1,0,25,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,2,8382,1,27,0,1,0,27,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,3,8383,1,28,0,1,0,28,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,4,8384,1,27,0,1,0,27,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,5,8385,1,27,0,1,0,27,
