run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
87,128,federation,500,True,True,0.793,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.52,0.476,0.52,0.476,0.52,100,0,,False,True,0.0,none,0,0,0
88,129,federation,500,True,True,0.806,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.515,0.455,0.515,0.455,0.515,100,0,,False,True,0.0,none,0,0,0
89,130,federation,500,True,True,0.788,1.0,1.0,0,1,1.0,0.8,10,8,0.0,0.504,0.465,0.504,0.465,0.504,100,0,,False,True,0.0,none,0,0,0
90,131,federation,500,True,True,0.729,1.0,1.0,0,1,1.0,0.933,15,14,0.0,0.492,0.453,0.492,0.452,0.492,100,0,,False,True,0.0,none,0,0,0
91,132,federation,500,True,True,0.784,1.0,1.0,0,1,1.0,0.769,13,10,0.0,0.508,0.467,0.508,0.467,0.508,100,0,,False,True,0.0,none,0,0,0
92,133,federation,500,True,True,0.765,1.0,1.0,0,1,1.0,0.444,9,4,0.0,0.411,0.395,0.411,0.395,0.411,100,0,,False,True,0.0,none,0,0,0
93,134,federation,500,True,True,0.872,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.624,0.565,0.624,0.565,0.624,100,0,,False,True,0.0,none,0,0,0
94,135,federation,500,True,True,0.721,1.0,1.0,0,1,1.0,0.769,13,10,0.0,0.411,0.391,0.411,0.391,0.411,100,0,,False,True,0.0,none,0,0,0
95,136,federation,500,True,True,0.772,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.462,0.442,0.462,0.442,0.462,100,0,,False,True,0.0,none,0,0,0
96,137,federation,500,True,True,0.836,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.563,0.509,0.563,0.509,0.563,100,0,,False,True,0.0,none,0,0,0
97,138,federation,500,True,True,0.833,1.0,1.0,0,2,0.984,0.667,3,2,0.0,0.523,0.482,0.523,0.482,0.523,100,0,,False,True,0.0,none,0,0,0
98,139,federation,500,True,True,0.745,1.0,1.0,0,1,1.0,0.857,14,12,0.0,0.483,0.438,0.483,0.438,0.483,100,0,,False,True,0.0,none,0,0,0
99,140,federation,500,True,True,0.796,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.49,0.461,0.49,0.461,0.49,100,0,,False,True,0.0,none,0,0,0
100,141,federation,500,True,True,0.726,1.0,1.0,0,1,1.0,0.923,13,12,0.0,0.473,0.431,0.473,0.431,0.473,100,0,,False,True,0.0,none,0,0,0
