run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
44,85,small-world,500,True,True,0.564,1.0,1.0,0,1,1.0,0.741,27,20,0.1,0.368,0.315,6,0,0.0,,0,0.368,0.315,0.368,100,0,,False,True,0.0,none,0,0,0
45,86,small-world,500,False,False,0.47,1.0,1.0,0,1,1.0,0.69,29,20,0.1,0.279,0.242,6,0,0.0,,0,0.278,0.242,0.278,100,0,,False,True,0.0,none,0,0,0
46,87,small-world,500,True,True,0.505,1.0,1.0,0,1,1.0,0.72,25,18,0.1,0.254,0.208,6,0,0.0,,0,0.252,0.206,0.252,100,0,,False,True,0.0,none,0,0,0
47,88,small-world,500,True,True,0.645,1.0,1.0,0,1,1.0,0.778,18,14,0.1,0.424,0.374,6,0,0.0,,0,0.394,0.34,0.394,100,0,,False,True,0.0,none,0,0,0
48,89,small-world,500,False,False,0.488,1.0,1.0,0,1,1.0,0.821,28,23,0.1,0.291,0.25,6,0,0.0,,0,0.284,0.236,0.284,100,0,,False,True,0.0,none,0,0,0
49,90,small-world,500,False,False,0.42,1.0,1.0,0,1,1.0,0.771,35,27,0.1,0.207,0.169,6,0,0.0,,0,0.207,0.169,0.207,100,0,,False,True,0.0,none,0,0,0
50,91,small-world,500,True,True,0.606,1.0,1.0,0,1,1.0,0.818,22,18,0.1,0.385,0.326,6,0,0.0,,0,0.371,0.309,0.371,100,0,,False,True,0.0,none,0,0,0
51,92,small-world,500,True,True,0.568,1.0,1.0,0,1,1.0,0.833,24,20,0.1,0.332,0.276,6,0,0.0,,0,0.332,0.276,0.332,100,0,,False,True,0.0,none,0,0,0
52,93,small-world,500,True,True,0.566,1.0,1.0,0,1,1.0,0.72,25,18,0.1,0.387,0.337,6,0,0.0,,0,0.376,0.312,0.376,100,0,,False,True,0.0,none,0,0,0
53,94,small-world,500,True,True,0.514,1.0,1.0,0,1,1.0,0.778,27,21,0.1,0.315,0.279,6,0,0.0,,0,0.315,0.279,0.315,100,0,,False,True,0.0,none,0,0,0
54,95,small-world,500,True,True,0.551,1.0,1.0,0,1,1.0,0.8,25,20,0.1,0.376,0.325,6,0,0.0,,0,0.366,0.308,0.366,100,0,,False,True,0.0,none,0,0,0
55,96,small-world,500,True,True,0.526,1.0,1.0,0,1,1.0,0.8,25,20,0.1,0.291,0.249,6,0,0.0,,0,0.284,0.245,0.284,100,0,,False,True,0.0,none,0,0,0
56,97,small-world,500,False,False,0.284,1.0,1.0,0,1,1.0,0.818,44,36,0.1,0.139,0.117,6,0,0.0,,0,0.139,0.117,0.139,100,0,,False,True,0.0,none,0,0,0
57,98,small-world,500,False,False,0.463,1.0,1.0,0,1,1.0,0.793,29,23,0.1,0.226,0.189,6,0,0.0,,0,0.226,0.189,0.226,100,0,,False,True,0.0,none,0,0,0
58,99,small-world,500,True,True,0.533,1.0,1.0,0,1,1.0,0.75,24,18,0.1,0.284,0.237,6,0,0.0,,0,0.284,0.237,0.284,100,0,,False,True,0.0,none,0,0,0
59,100,small-world,500,False,False,0.471,1.0,1.0,0,1,1.0,0.75,28,21,0.1,0.216,0.18,6,0,0.0,,0,0.216,0.18,0.216,100,0,,False,True,0.0,none,0,0,0
