run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
71,112,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.871,62,54,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
72,113,federation,500,False,False,0.059,1.0,1.0,1,2,0.97,0.869,61,53,0.0,0.011,0.011,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
73,114,federation,500,False,False,0.062,1.0,1.0,1,2,0.984,0.847,59,50,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
74,115,federation,500,False,False,0.057,1.0,1.0,0,1,1.0,0.828,64,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
75,116,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.812,64,52,0.0,0.008,0.005,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
76,117,federation,500,False,False,0.083,1.0,1.0,0,2,0.971,0.85,60,51,0.0,0.011,0.005,6,0,0.0,,0,0.005,0.002,0.005,100,0,,False,True,0.0,none,0,0,0
77,118,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.919,62,57,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
78,119,federation,500,False,False,0.06,1.0,1.0,0,3,0.97,0.783,60,47,0.0,0.0,0.003,6,0,0.0,,0,0.0,0.003,0.0,100,0,,False,True,0.0,none,0,0,0
79,120,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.841,63,53,0.0,0.007,0.003,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
80,121,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.836,61,51,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
81,122,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.852,61,52,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
82,123,federation,500,False,False,0.06,1.0,1.0,0,1,1.0,0.867,60,52,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
83,124,federation,500,False,False,0.061,1.0,1.0,0,1,1.0,0.862,58,50,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
84,125,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.839,62,52,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
85,126,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.844,64,54,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
86,127,federation,500,False,False,0.062,1.0,1.0,0,1,1.0,0.883,60,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
87,128,federation,500,False,False,0.062,1.0,1.0,0,1,1.0,0.933,60,56,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
88,129,federation,500,False,False,0.152,1.0,1.0,0,1,1.0,0.887,53,47,0.0,0.001,0.002,6,0,0.0,,0,0.001,0.002,0.001,100,0,,False,True,0.0,none,0,0,0
89,130,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.806,62,50,0.0,0.011,0.006,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
90,131,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.836,61,51,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
91,132,federation,500,False,False,0.057,1.0,1.0,0,1,1.0,0.794,63,50,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
92,133,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.839,62,52,0.0,0.009,0.005,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
93,134,federation,500,False,False,0.057,1.0,1.0,0,1,1.0,0.887,62,55,0.0,0.005,0.001,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
94,135,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.869,61,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
95,136,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.903,62,56,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
96,137,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.869,61,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
97,138,federation,500,False,False,0.063,1.0,1.0,0,2,0.985,0.85,60,51,0.0,0.0,0.002,6,0,0.0,,0,0.0,0.002,0.0,100,0,,False,True,0.0,none,0,0,0
98,139,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.883,60,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
99,140,federation,500,False,False,0.06,1.0,1.0,0,1,1.0,0.855,62,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
