run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
61,102,scale-free,500,False,False,0.324,1.0,1.0,0,1,1.0,0.824,34,28,0.1,0.099,0.074,6,0,0.0,,0,0.099,0.074,0.099,100,0,,False,True,0.0,none,0,0,0
62,103,scale-free,500,False,False,0.317,1.0,1.0,0,1,1.0,0.842,38,32,0.1,0.122,0.098,6,0,0.0,,0,0.122,0.097,0.122,100,0,,False,True,0.0,none,0,0,0
63,104,scale-free,500,False,False,0.252,1.0,1.0,0,1,1.0,0.854,48,41,0.1,0.062,0.045,6,0,0.0,,0,0.062,0.045,0.062,100,0,,False,True,0.0,none,0,0,0
64,105,scale-free,500,False,False,0.362,1.0,1.0,0,1,1.0,0.824,34,28,0.1,0.139,0.118,6,0,0.0,,0,0.139,0.118,0.139,100,0,,False,True,0.0,none,0,0,0
65,106,scale-free,500,False,False,0.272,1.0,1.0,0,1,1.0,0.8,45,36,0.1,0.08,0.07,6,0,0.0,,0,0.076,0.067,0.076,100,0,,False,True,0.0,none,0,0,0
66,107,scale-free,500,False,False,0.296,1.0,1.0,0,1,1.0,0.8,40,32,0.1,0.086,0.073,6,0,0.0,,0,0.086,0.073,0.086,100,0,,False,True,0.0,none,0,0,0
67,108,scale-free,500,False,False,0.142,1.0,1.0,0,1,1.0,0.768,56,43,0.1,0.012,0.007,6,0,0.0,,0,0.012,0.007,0.012,100,0,,False,True,0.0,none,0,0,0
68,109,scale-free,500,False,False,0.279,1.0,1.0,0,1,1.0,0.837,43,36,0.1,0.071,0.049,6,0,0.0,,0,0.071,0.049,0.071,100,0,,False,True,0.0,none,0,0,0
69,110,scale-free,500,False,False,0.157,1.0,1.0,0,1,1.0,0.9,50,45,0.1,0.013,0.008,6,0,0.0,,0,0.013,0.008,0.013,100,0,,False,True,0.0,none,0,0,0
70,111,scale-free,500,False,False,0.389,1.0,1.0,0,1,1.0,0.865,37,32,0.1,0.17,0.141,6,0,0.0,,0,0.17,0.141,0.17,100,0,,False,True,0.0,none,0,0,0
71,112,scale-free,500,False,False,0.272,1.0,1.0,0,1,1.0,0.857,42,36,0.1,0.068,0.05,6,0,0.0,,0,0.068,0.05,0.068,100,0,,False,True,0.0,none,0,0,0
72,113,scale-free,500,False,False,0.145,1.0,1.0,0,1,1.0,0.849,53,45,0.1,0.028,0.02,6,0,0.0,,0,0.027,0.02,0.027,100,0,,False,True,0.0,none,0,0,0
73,114,scale-free,500,False,False,0.411,1.0,1.0,0,1,1.0,0.758,33,25,0.1,0.195,0.159,6,0,0.0,,0,0.193,0.159,0.193,100,0,,False,True,0.0,none,0,0,0
74,115,scale-free,500,False,False,0.308,1.0,1.0,0,1,1.0,0.821,39,32,0.1,0.07,0.048,6,0,0.0,,0,0.07,0.048,0.07,100,0,,False,True,0.0,none,0,0,0
75,116,scale-free,500,False,False,0.284,1.0,1.0,0,1,1.0,0.867,45,39,0.1,0.066,0.053,6,0,0.0,,0,0.066,0.053,0.066,100,0,,False,True,0.0,none,0,0,0
76,117,scale-free,500,False,False,0.367,1.0,1.0,0,1,1.0,0.781,32,25,0.1,0.116,0.086,6,0,0.0,,0,0.116,0.086,0.116,100,0,,False,True,0.0,none,0,0,0
77,118,scale-free,500,False,False,0.383,1.0,1.0,0,1,1.0,0.786,28,22,0.1,0.108,0.094,6,0,0.0,,0,0.108,0.094,0.108,100,0,,False,True,0.0,none,0,0,0
78,119,scale-free,500,False,False,0.276,1.0,1.0,0,1,1.0,0.864,44,38,0.1,0.076,0.061,6,0,0.0,,0,0.076,0.061,0.076,100,0,,False,True,0.0,none,0,0,0
79,120,scale-free,500,False,False,0.359,1.0,1.0,0,1,1.0,0.789,38,30,0.1,0.105,0.078,6,0,0.0,,0,0.105,0.078,0.105,100,0,,False,True,0.0,none,0,0,0
80,121,scale-free,500,False,False,0.107,1.0,1.0,0,1,1.0,0.825,57,47,0.1,0.003,0.002,6,0,0.0,,0,0.003,0.002,0.003,100,0,,False,True,0.0,none,0,0,0
81,122,scale-free,500,False,False,0.247,1.0,1.0,0,1,1.0,0.86,43,37,0.1,0.058,0.039,6,0,0.0,,0,0.058,0.039,0.058,100,0,,False,True,0.0,none,0,0,0
82,123,scale-free,500,False,False,0.32,1.0,1.0,0,1,1.0,0.769,39,30,0.1,0.086,0.068,6,0,0.0,,0,0.086,0.068,0.086,100,0,,False,True,0.0,none,0,0,0
83,124,scale-free,500,False,False,0.259,1.0,1.0,0,1,1.0,0.714,42,30,0.1,0.042,0.028,6,0,0.0,,0,0.042,0.028,0.042,100,0,,False,True,0.0,none,0,0,0
84,125,scale-free,500,False,False,0.177,1.0,1.0,0,1,1.0,0.84,50,42,0.1,0.018,0.013,6,0,0.0,,0,0.018,0.013,0.018,100,0,,False,True,0.0,none,0,0,0
85,126,scale-free,500,False,False,0.203,1.0,1.0,0,1,1.0,0.833,48,40,0.1,0.043,0.035,6,0,0.0,,0,0.043,0.035,0.043,100,0,,False,True,0.0,none,0,0,0
86,127,scale-free,500,False,False,0.165,1.0,1.0,0,1,1.0,0.863,51,44,0.1,0.025,0.02,6,0,0.0,,0,0.025,0.02,0.025,100,0,,False,True,0.0,none,0,0,0
87,128,scale-free,500,False,False,0.296,1.0,1.0,0,1,1.0,0.737,38,28,0.1,0.069,0.053,6,0,0.0,,0,0.069,0.053,0.069,100,0,,False,True,0.0,none,0,0,0
88,129,scale-free,500,False,False,0.232,1.0,1.0,0,1,1.0,0.818,44,36,0.1,0.043,0.03,6,0,0.0,,0,0.043,0.03,0.043,100,0,,False,True,0.0,none,0,0,0
89,130,scale-free,500,False,False,0.178,1.0,1.0,0,1,1.0,0.894,47,42,0.1,0.022,0.013,6,0,0.0,,0,0.022,0.013,0.022,100,0,,False,True,0.0,none,0,0,0
90,131,scale-free,500,False,False,0.126,1.0,1.0,0,1,1.0,0.839,56,47,0.1,0.01,0.008,6,0,0.0,,0,0.01,0.008,0.01,100,0,,False,True,0.0,none,0,0,0
91,132,scale-free,500,False,False,0.16,1.0,1.0,0,1,1.0,0.92,50,46,0.1,0.014,0.01,6,0,0.0,,0,0.014,0.01,0.014,100,0,,False,True,0.0,none,0,0,0
92,133,scale-free,500,False,False,0.103,1.0,1.0,0,1,1.0,0.78,59,46,0.1,0.012,0.007,6,0,0.0,,0,0.006,0.004,0.006,100,0,,False,True,0.0,none,0,0,0
93,134,scale-free,500,False,False,0.279,1.0,1.0,0,1,1.0,0.881,42,37,0.1,0.088,0.071,6,0,0.0,,0,0.088,0.071,0.088,100,0,,False,True,0.0,none,0,0,0
94,135,scale-free,500,False,False,0.212,1.0,1.0,0,1,1.0,0.766,47,36,0.1,0.039,0.03,6,0,0.0,,0,0.039,0.03,0.039,100,0,,False,True,0.0,none,0,0,0
95,136,scale-free,500,False,False,0.247,1.0,1.0,0,1,1.0,0.814,43,35,0.1,0.071,0.063,6,0,0.0,,0,0.071,0.063,0.071,100,0,,False,True,0.0,none,0,0,0
96,137,scale-free,500,False,False,0.269,1.0,1.0,0,1,1.0,0.837,43,36,0.1,0.058,0.044,6,0,0.0,,0,0.058,0.044,0.058,100,0,,False,True,0.0,none,0,0,0
97,138,scale-free,500,False,False,0.222,1.0,1.0,0,1,1.0,0.778,45,35,0.1,0.044,0.03,6,0,0.0,,0,0.044,0.03,0.044,100,0,,False,True,0.0,none,0,0,0
98,139,scale-free,500,False,False,0.114,1.0,1.0,0,1,1.0,0.825,57,47,0.1,0.003,0.002,6,0,0.0,,0,0.003,0.002,0.003,100,0,,False,True,0.0,none,0,0,0
99,140,scale-free,500,False,False,0.242,1.0,1.0,0,1,1.0,0.795,44,35,0.1,0.08,0.067,6,0,0.0,,0,0.08,0.067,0.08,100,0,,False,True,0.0,none,0,0,0
100,141,scale-free,500,False,False,0.142,1.0,1.0,0,1,1.0,0.778,54,42,0.1,0.011,0.007,6,0,0.0,,0,0.011,0.007,0.011,100,0,,False,True,0.0,none,0,0,0
