disturbance_level,coupling_delay,trust_coupling,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
0.2,1,0.0,3,45,0.928439403845787,0.49513663307149725,1.0,0.13,0,1,0,0,0.789551773586494,0.20117221997358792,1,1,0.8062171396002894,0.40585974712304995,0
0.2,1,0.0,4,46,0.872378830505816,0.35137105597524493,0.86,0.1,0,1,1,0,0.7439388147483604,0.01152602518701916,1,1,0.5517589526206295,0.4002312852836337,1
0.2,1,0.0,5,47,0.8724317462416384,0.33436366762230574,0.72,0.11,0,1,1,0,0.7155083187430827,0.0,1,1,0.2832114915107097,0.40017482933620885,1
0.2,1,0.0,6,48,0.8647091122077639,0.4239411645319029,0.67,0.1,0,1,1,0,0.7198283743170815,0.09766252602066681,1,1,0.7672255398482385,0.4167944713546498,1
0.2,1,0.0,7,49,0.8766289944227564,0.3415549367008938,0.93,0.09,0,1,1,0,0.7271907929272385,0.0,1,1,0.6196245559113355,0.3999529231005537,1
0.2,1,0.0,8,50,0.8891981838410036,0.31887087338298437,0.85,0.1,0,1,1,0,0.7743369716057689,0.0,1,1,0.7559214777288622,0.4228107203700881,1
0.2,1,0.0,9,51,0.7678656427064461,0.3005680050390567,0.36,0.08,1,1,1,0,0.6271598856381686,0.0,1,1,0.6599829000589593,0.3836255909413318,1
0.2,1,0.0,10,52,0.9409520004438368,0.3617190804478698,1.0,0.14,0,1,0,0,0.7787012131490102,0.01552565841745103,1,1,0.5937734323981582,0.4007418227570973,0
0.2,1,0.0,11,53,0.8609884939239331,0.44801121185745313,1.0,0.16,0,1,0,0,0.7246412193398635,0.14689816421943797,1,1,0.5491637876907095,0.411574362108016,0
0.2,1,0.0,12,54,0.822371157829028,0.45498307134780525,0.99,0.1,0,1,1,0,0.6447684140561775,0.14227620082038073,1,1,0.3123793238066898,0.3539497610523758,1
0.2,1,0.0,13,55,0.8790109365355739,0.4371803642815092,0.94,0.1,0,1,1,0,0.7377448887585991,0.13276115514582232,1,1,0.6693913703884804,0.3609051618254966,1
0.2,1,0.0,14,56,0.8222297979144213,0.331270488045581,1.0,0.09,0,1,0,0,0.6708909448894299,0.0,1,1,0.4155152635431866,0.4333264743756807,0
0.2,1,0.0,15,57,0.7951193845285167,0.38872235397083604,0.87,0.12,1,1,1,0,0.6767237815293974,0.04539592512366114,1,1,0.24318626538279953,0.3568776017747851,1
0.2,1,0.0,16,58,0.9199171597364618,0.43178642809557616,1.0,0.13,0,1,0,0,0.7514266540737516,0.13318883156029365,1,1,0.7007571289917406,0.4497122824750395,0
0.2,1,0.0,17,59,0.9522761906281677,0.42533858581313194,0.69,0.07,0,1,1,0,0.7949029173678461,0.11987055051409998,1,1,0.4103513446643132,0.40473009178378566,1
0.2,1,0.0,18,60,0.761321157365883,0.2955715184129426,0.93,0.19,1,1,1,0,0.5956441750669683,0.0,1,1,0.6782999649514823,0.3890656914190604,1
0.2,1,0.0,19,61,0.9363753140628087,0.3682994428131633,0.91,0.14,0,1,1,0,0.7863279451699687,0.027651771393569155,1,1,0.6960401002218651,0.4225886387887901,1
0.2,1,0.01,0,42,0.9077608661467818,0.3861515444987751,1.0,0.12,0,1,0,0,0.723821347478597,0.06326280776065893,1,1,0.3156256783969909,0.41040461556370245,0
0.2,1,0.01,1,43,0.782100756283933,0.35522019392069376,0.88,0.11,1,1,1,0,0.5465353269441177,0.021891237266220446,1,1,0.4950465008518323,0.39767254766641746,1
0.2,1,0.01,2,44,0.837734409452931,0.4182667261276389,0.89,0.19,0,1,1,0,0.685615437648975,0.11774961573793358,1,1,0.812720358479993,0.38698214070685016,1
0.2,1,0.01,3,45,0.9381476490781936,0.5526523639866733,1.0,0.14,0,1,0,0,0.8032113175981831,0.3030456826718898,1,1,0.817727363606169,0.386817405493232,0
0.2,1,0.01,4,46,0.8739862209146226,0.3659036493085957,0.88,0.11,0,1,1,0,0.7454640833809293,0.05233932698538435,1,1,0.5911650102210195,0.3696106223874257,1
0.2,1,0.01,5,47,0.8745385311524502,0.3376296269453469,0.81,0.12,0,1,1,0,0.7170040795986374,0.007187787908923795,1,1,0.3028115660166091,0.38772284306318894,1
0.2,1,0.01,6,48,0.8726521300794632,0.47638216016170576,0.69,0.12,0,1,1,0,0.7313033873741993,0.19036198045394573,1,1,0.7771273390913167,0.40257452045501735,1
0.2,1,0.01,7,49,0.8777685179299614,0.3521475673171824,0.94,0.1,0,1,1,0,0.728517837213193,0.024132690459858365,1,1,0.670436087661785,0.37888055404935017,1
0.2,1,0.01,8,50,0.8897374690219839,0.31912070320299,0.89,0.11,0,1,1,0,0.7748450238938639,0.007713531768484121,1,1,0.7857638482967674,0.41271389601510805,1
0.2,1,0.01,9,51,0.7703483370647363,0.3019241703097983,0.38,0.1,1,1,1,0,0.6303818217994798,0.00617970352175377,1,1,0.7114663448904179,0.378907280243265,1
0.2,1,0.01,10,52,0.9427115238564472,0.3880505684430722,1.0,0.16,0,1,0,0,0.782230818074583,0.07538124276980207,1,1,0.7099082745083305,0.37845226938402937,0
0.2,1,0.01,11,53,0.8688259983820857,0.5110218821175426,1.0,0.17,0,1,0,0,0.7370239806778357,0.2544846413968187,1,1,0.5469664745215272,0.38783795459006826,0
