disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.4,0,0.2,0.9991566017184368,0.9920280215992159,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652670145131216,0.009482145895816354,0.0,1.0,1.0
0.4,1,0.0,0.9581618957770797,0.6464879058636187,0.998,0.211,0.0,0.85,0.05,0.35,1.0,0.85,-0.019581029312620724,0.2824853528599479,0.05,0.816258363926557,0.4245343184961962
0.4,1,0.01,0.9806322497997467,0.7269937341825823,0.9984999999999999,0.377,0.0,0.7,0.05,0.55,1.0,0.7,-0.10023940222986423,0.23205911571031718,0.05,0.8885101400638138,0.5537425909216542
0.4,1,0.02,0.9930357368762099,0.8138325927819958,1.0,0.592,0.0,0.35,0.0,0.95,0.95,0.35,-0.11850867264591329,0.17250880570984034,0.0,0.9506723231138295,0.6912747429034733
0.4,1,0.05,0.9985003149262068,0.9607210363786886,1.0,0.9585000000000001,0.0,0.05,0.0,0.15,0.15,0.05,0.3237479599397767,0.04081745183014625,0.0,0.9962988100075337,0.9535700980261568
0.4,1,0.1,0.998732208812583,0.9863191654194632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680709153527911,0.015199662027884794,0.0,1.0,1.0
0.4,1,0.2,0.9987322084379702,0.9868765100512483,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683502508556529,0.014460849121092356,0.0,1.0,1.0
0.4,2,0.0,0.9585291581329937,0.6460782936691126,0.998,0.23199999999999998,0.0,0.85,0.05,0.35,1.0,0.85,-0.019250865413899407,0.2786676214509261,0.05,0.815169341819483,0.42418808159070887
0.4,2,0.01,0.9815892237246706,0.7267474655563941,0.999,0.3795,0.0,0.7,0.05,0.55,1.0,0.7,-0.12227164537040658,0.22832929003304833,0.05,0.8882816891565384,0.5535421120950378
0.4,2,0.02,0.993979874140682,0.8141332276158115,1.0,0.6064999999999999,0.0,0.4,0.0,0.9,0.95,0.4,-0.1461166750084109,0.169492022624084,0.0,0.9530328862728155,0.6920659819971777
0.4,2,0.05,0.9985141142624387,0.961984101682369,1.0,0.962,0.0,0.05,0.0,0.1,0.15,0.05,0.33363958343354916,0.039813459212812076,0.0,0.9961924034905243,0.9554923573122928
0.4,2,0.1,0.9987293853974384,0.9867494850431688,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817917050580398,0.015092785182550495,0.0,1.0,1.0
0.4,2,0.2,0.9987293849923173,0.9872210175971767,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975891604508598,0.014405745057374741,0.0,1.0,1.0
0.6,0,0.0,0.9805866438545052,0.752423115257516,1.0,0.40499999999999997,0.0,0.55,0.0,0.7,1.0,0.55,-0.13402896026999783,0.218345756792956,0.0,0.8699043268101248,0.5693632564690813
0.6,0,0.01,0.9921027877480327,0.8218489326519315,1.0,0.622,0.0,0.35,0.0,0.9,0.9,0.35,-0.11314802735457807,0.16758797698178393,0.0,0.9375493799741722,0.6792203827604442
0.6,0,0.02,0.9978728787323178,0.8893617221960017,1.0,0.843,0.0,0.15,0.0,0.75,0.75,0.15,-0.01228000911525241,0.11457320810063429,0.0,0.9704693770238764,0.7945949408862919
0.6,0,0.05,0.9990179768898463,0.9780189031918709,1.0,0.9890000000000001,0.0,0.0,0.0,0.15,0.15,0.0,0.5020177623705253,0.02389631378261093,0.0,0.9970648735787417,0.9740671412014004
0.6,0,0.1,0.9991566017461746,0.9917531493273902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572595444593968,0.009987132627734627,0.0,1.0,1.0
0.6,0,0.2,0.9991566017184368,0.9920280215992158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7653047171791798,0.00948339143896439,0.0,1.0,1.0
