scenario,run_index,seed,final_trust,final_stability,min_stability,max_stability,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
baseline_high_control_no_cap,17,59,1.0,0.9999999999999983,0.8764792485311318,0.9999999999999983,0.13220529482637472,0.14157210395966505,1.0,,,1,0,0,,0.8091574439811453
baseline_high_control_no_cap,18,60,1.0,0.999999999999999,0.8824396927487057,0.999999999999999,0.1437083317329556,0.13656667314737445,1.0,,,1,0,0,,0.8081337797766139
baseline_high_control_no_cap,19,61,1.0,0.999999999999999,0.8806902937420537,0.999999999999999,0.10786801102967113,0.12099985064117401,1.0,,,1,0,0,,0.7826035939908449
constraint_regime_no_cap,0,42,0.808307459016521,0.9175270810467141,0.7714256585761762,0.9985231653393672,0.6242520717243414,0.3116079828250494,0.95,10,15,0,1,0,,0.39990000000000003
constraint_regime_no_cap,1,43,0.5688649979513175,0.7518363724444835,0.5824342236767265,0.9951087266738121,1.0,0.44525418955279306,0.67,14,18,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,2,44,0.7022060955930545,0.8356693047897256,0.3531273527139285,0.959550649368334,0.306883608729348,0.34613914632985715,0.46,11,17,0,1,0,,0.39990000000000003
constraint_regime_no_cap,3,45,0.05337369096556846,0.37628456562849966,0.3516632684144493,0.9567001111842877,0.2614567604471252,0.3917921651650377,0.21,9,51,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,4,46,0.8390041640146746,0.8871038205690773,0.3609830960712177,0.9636468247285507,0.17040784829166147,0.24319651947554854,0.31,8,22,0,1,0,,0.39990000000000003
constraint_regime_no_cap,5,47,0.4008729759456314,0.6273272838917313,0.2664914852282245,0.9142403544027505,0.397765983060679,0.40685295488563156,0.18,5,81,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,6,48,0.3761706276409936,0.5766374306941614,0.33951400430965706,0.9770119958635587,0.26563095468003195,0.3402992425546243,0.23,19,24,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,7,49,0.6082737227226076,0.7594502867448305,0.5691157609760159,0.9400734352918447,0.29730780412899366,0.3598598320764817,0.49,2,9,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,8,50,0.7912565551471267,0.9041559577935699,0.475888015114552,0.9992592282852197,0.5737481535529187,0.4199248214787858,0.66,5,10,0,1,0,,0.39990000000000003
constraint_regime_no_cap,9,51,0.2069746199919421,0.48804266755174847,0.3405552589769553,0.9837495954346875,0.3633034440609424,0.44072940198469657,0.35,35,,0,0,1,never_recovered,0.39990000000000003
constraint_regime_no_cap,10,52,0.9776352241075218,0.9936798538629741,0.8069679706712346,0.9999499966922739,0.22128097231567576,0.26501974689090835,1.0,,,1,0,0,,0.39990000000000003
constraint_regime_no_cap,11,53,0.3689958101261817,0.5901243081851978,0.5721168386050574,0.9874529505166658,0.7329900603625504,0.42027714381565284,0.63,45,49,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,12,54,0.17268999276115538,0.4872458989332535,0.44966956780101663,0.9754085158123085,0.46504239974948736,0.5492802245832187,0.41,10,52,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,13,55,0.09635023105546008,0.3978257177897559,0.27029069639510345,0.9080345577280377,0.341346344164426,0.3908872404398041,0.31,12,16,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,14,56,0.49188223379793583,0.7034579454789007,0.5293993829704166,0.9896777588805924,0.6041395711589006,0.4887755806319333,0.48,8,10,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,15,57,0.11379968049008993,0.4001584990207851,0.3162888382370693,0.9658691949961427,0.2689455665067749,0.3491690712436473,0.2,3,11,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,16,58,0.789470611834012,0.9019382428038425,0.4070982802829376,0.9998384819450225,0.858894834022337,0.3971614720876975,0.64,48,84,0,1,0,,0.39990000000000003
constraint_regime_no_cap,17,59,1.0,0.9958701335244643,0.31442472828296686,0.9958701335244643,0.17489799582939491,0.2181356312695192,0.53,26,67,0,1,0,,0.39990000000000003
constraint_regime_no_cap,18,60,0.2703604749028289,0.5175367025361778,0.34117433197928854,0.9879493444008666,0.2846451466654739,0.34771054047726935,0.2,17,36,0,1,1,ended_below_threshold,0.39990000000000003
constraint_regime_no_cap,19,61,0.3455592757623708,0.5559665058482643,0.4449118312785388,0.9975819823314618,0.4626455739948242,0.33645029539235427,0.51,18,25,0,1,1,ended_below_threshold,0.39990000000000003
