disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.4,1,0.2,0.9994265850262991,0.9939821255909458,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8312580432139611,0.007811243640954436,0.0,1.0,1.0
0.4,2,0.0,0.9943909974966791,0.8019878599118764,1.0,0.5589999999999999,0.0,0.45,0.0,0.95,0.95,0.45,-0.28036735318579864,0.18331539252046883,0.0,0.9285333260840909,0.6348171540558403
0.4,2,0.01,0.9984251829821114,0.8665017348008017,1.0,0.7805,0.0,0.15,0.0,0.85,0.85,0.15,-0.16727530852641298,0.13311052429715434,0.0,0.966366167634081,0.7388948079694159
0.4,2,0.02,0.9989336727746678,0.9240785309406865,1.0,0.9244999999999999,0.0,0.15,0.0,0.3,0.35,0.15,0.061498937678729694,0.08227610564855616,0.0,0.9878111853630592,0.8523240020694555
0.4,2,0.05,0.999316199923294,0.9845830366281078,1.0,0.9984999999999999,0.0,0.0,0.0,0.05,0.05,0.0,0.6279549364339766,0.01692194336965097,0.0,0.9977235414664232,0.983124245140389
0.4,2,0.1,0.9993960810784903,0.9939162945051093,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8310033235494615,0.008324823392616166,0.0,1.0,1.0
0.4,2,0.2,0.9993960810776317,0.9940301416211984,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383574376951076,0.007998207009908354,0.0,1.0,1.0
0.6,0,0.0,0.9962162505439567,0.8389593297052771,1.0,0.6985,0.0,0.25,0.0,0.9,0.9,0.25,-0.18338442036751285,0.15452201167487525,0.0,0.9408012210126993,0.6808469740274955
0.6,0,0.01,0.9988808412538728,0.8987617444334328,1.0,0.8779999999999999,0.0,0.15,0.0,0.7,0.7,0.15,-0.030283174838668818,0.10669050200987551,0.0,0.9701761301348026,0.7851640758271304
0.6,0,0.02,0.9991716922121203,0.9460872825350946,1.0,0.9445,0.0,0.1,0.0,0.2,0.3,0.1,0.20470303624205574,0.06042978680057082,0.0,0.9895920396910745,0.8929641993526379
0.6,0,0.05,0.9994762550287908,0.9885651215284579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866138148892738,0.012565585972173082,0.0,0.9980441794623518,0.9874460158116486
0.6,0,0.1,0.9995243638456074,0.9954468813483229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522791560079167,0.006359747938827011,0.0,1.0,1.0
0.6,0,0.2,0.9995243638454048,0.9955244392672673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557598592427059,0.006089022718919323,0.0,1.0,1.0
0.6,1,0.0,0.9940298993759203,0.8016463087791046,1.0,0.554,0.0,0.45,0.0,0.95,0.95,0.45,-0.25910849453607976,0.1852039992469489,0.0,0.9281161806292003,0.6341295795515292
0.6,1,0.01,0.9983951486733199,0.8659075067002583,1.0,0.773,0.0,0.15,0.0,0.85,0.85,0.15,-0.14720492047269265,0.13440893350009453,0.0,0.9648857253578358,0.737804385724375
0.6,1,0.02,0.998987887990417,0.9241005204536437,1.0,0.9215,0.0,0.15,0.0,0.3,0.35,0.15,0.07256966833481929,0.08290723202429966,0.0,0.9867921305543718,0.8522738230815443
0.6,1,0.05,0.9993502520950305,0.9844308510350164,1.0,0.9984999999999999,0.0,0.0,0.0,0.05,0.05,0.0,0.6171503569849071,0.016958303953976465,0.0,0.9977918039702367,0.982899969467802
0.6,1,0.1,0.9994265850264817,0.9938722614353329,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8246813988052853,0.008111459161534907,0.0,1.0,1.0
