config,hub_count,balanced,run_index,seed,hub1_final_stability,hub2_final_stability,hub3_final_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,final_cooperation,final_trust,collapsed
A,1,1,17,59,0.5610232132639328,,,0.9769491525423729,1.0,1,4,0.25544152654308716,0.25544152654308716,1
A,1,1,18,60,0.5610495241252799,,,0.9752542372881357,1.0,1,4,0.25651774940731303,0.25651774940731303,1
A,1,1,19,61,0.5606185989350648,,,0.9761581920903956,1.0,1,4,0.25564793564378424,0.25564793564378424,1
A,1,1,20,62,0.5617625127142657,,,0.9772881355932204,1.0,1,4,0.25273517038526716,0.25273517038526716,1
A,1,1,21,63,0.5610277349441639,,,0.9754802259887005,1.0,1,4,0.2558017222422126,0.2558017222422126,1
A,1,1,22,64,0.561399487595013,,,0.9761581920903956,1.0,1,4,0.2580110592001397,0.2580110592001397,1
A,1,1,23,65,0.5601647437966094,,,0.9761581920903956,1.0,1,4,0.2564163574169223,0.2564163574169223,1
A,1,1,24,66,0.5611588003508996,,,0.9760451977401129,1.0,1,4,0.25573427876351057,0.25573427876351057,1
A,1,1,25,67,0.5613849424594662,,,0.9770621468926554,1.0,1,4,0.25588501220902765,0.25588501220902765,1
A,1,1,26,68,0.5623354451498495,,,0.9761581920903956,1.0,1,4,0.2564305273674405,0.2564305273674405,1
A,1,1,27,69,0.5600492689148131,,,0.9761581920903956,1.0,1,4,0.25557759019980353,0.25557759019980353,1
A,1,1,28,70,0.5608458757990886,,,0.9759322033898304,1.0,1,4,0.25475768462662185,0.25475768462662185,1
A,1,1,29,71,0.5588414887500046,,,0.9759322033898304,1.0,1,4,0.25568200753058407,0.25568200753058407,1
B,2,1,0,42,0.609718594008666,0.609033549032572,,0.9370114942528737,1.0,1,11,0.6282095226244688,0.6282095226244688,1
B,2,1,1,43,0.6099571049941436,0.610546851525315,,0.936551724137931,1.0,1,11,0.6314715365153826,0.6314715365153826,1
B,2,1,2,44,0.60985086325029,0.6059012475291063,,0.9362068965517242,1.0,1,11,0.6273416738882497,0.6273416738882497,1
B,2,1,3,45,0.6099277668310884,0.6064073326986698,,0.9375862068965517,1.0,1,11,0.6267837338195288,0.6267837338195288,1
B,2,1,4,46,0.6064138545486598,0.6094474622877497,,0.94,1.0,1,10,0.6231295715012235,0.6231295715012235,1
B,2,1,5,47,0.6068944239293476,0.6065464686309439,,0.936896551724138,1.0,1,11,0.6249349579567799,0.6249349579567799,1
B,2,1,6,48,0.6091109377069962,0.6064925886563158,,0.9374712643678161,1.0,1,11,0.6251732757560149,0.6251732757560149,1
B,2,1,7,49,0.6091575720081348,0.6069259833793358,,0.9377011494252874,1.0,1,11,0.6264833746118804,0.6264833746118804,1
B,2,1,8,50,0.6096206748425198,0.6086227044868637,,0.9380459770114942,1.0,1,10,0.626439617409845,0.626439617409845,1
B,2,1,9,51,0.6076512037059905,0.6056718189734596,,0.9354022988505748,1.0,1,11,0.6221139579673014,0.6221139579673014,1
B,2,1,10,52,0.6074657251506783,0.6044873257856339,,0.9404597701149424,1.0,1,10,0.6220494832321396,0.6220494832321396,1
B,2,1,11,53,0.6069204923255176,0.6077651159704004,,0.9354022988505748,1.0,1,11,0.6269412447442932,0.6269412447442932,1
B,2,1,12,54,0.6108295470279828,0.6067259433734239,,0.9354022988505748,1.0,1,11,0.626866872451844,0.626866872451844,1
B,2,1,13,55,0.6102097667283496,0.6031914448822888,,0.9347126436781609,1.0,1,11,0.623945931309263,0.623945931309263,1
B,2,1,14,56,0.6090475924163197,0.6053980164166206,,0.9382758620689655,1.0,1,11,0.6241696172155544,0.6241696172155544,1
B,2,1,15,57,0.6098175525720725,0.6102919183845696,,0.9371264367816091,1.0,1,11,0.629826734717835,0.629826734717835,1
B,2,1,16,58,0.607634275179829,0.6088310067738687,,0.937816091954023,1.0,1,11,0.6254403616679733,0.6254403616679733,1
B,2,1,17,59,0.6089312332991066,0.6112107099361793,,0.9380459770114942,1.0,1,11,0.6281426571401667,0.6281426571401667,1
B,2,1,18,60,0.6081813009452189,0.607638349271095,,0.9339080459770114,1.0,1,11,0.6273314495741037,0.6273314495741037,1
B,2,1,19,61,0.6074806068348731,0.6108933115931467,,0.9374712643678161,1.0,1,11,0.6273103767787653,0.6273103767787653,1
B,2,1,20,62,0.6093553119978508,0.6063971641309193,,0.9394252873563219,1.0,1,10,0.6234150098178106,0.6234150098178106,1
B,2,1,21,63,0.6085018453697774,0.6088446639072576,,0.9381609195402298,1.0,1,11,0.627299419495608,0.627299419495608,1
B,2,1,22,64,0.6088658970403829,0.6073242973173837,,0.936551724137931,1.0,1,11,0.6282136933717685,0.6282136933717685,1
B,2,1,23,65,0.6069614587768541,0.605629165430941,,0.9364367816091953,1.0,1,11,0.6246455484824749,0.6246455484824749,1
B,2,1,24,66,0.6091078317433921,0.607124989526588,,0.9362068965517242,1.0,1,11,0.627552207063107,0.627552207063107,1
B,2,1,25,67,0.6087739953846268,0.6070118395968289,,0.9386206896551724,1.0,1,10,0.6255893117373593,0.6255893117373593,1
B,2,1,26,68,0.6097230497499532,0.6101894644341374,,0.9349425287356322,1.0,1,11,0.6282003688657352,0.6282003688657352,1
B,2,1,27,69,0.607096736502499,0.6068447362239697,,0.9362068965517242,1.0,1,11,0.6242448204111617,0.6242448204111617,1
B,2,1,28,70,0.608212012930177,0.6085890475164013,,0.9355172413793102,1.0,1,11,0.6255921849650449,0.6255921849650449,1
