topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.076,59,101,0.0,0.14285714285714285,48,13,3,0,48,12|5|7|10|2|6|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,60,102,0.0,0.14285714285714285,47,13,1,0,47,11|5|7|10|2|6|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,61,103,0.0,0.14285714285714285,46,13,3,0,46,10|5|7|10|2|6|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,62,104,0.0,0.16326530612244897,49,13,1,0,49,8|5|7|10|2|6|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,63,105,0.0,0.16326530612244897,48,13,3,0,48,7|5|7|10|2|6|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,64,106,0.0,0.16326530612244897,49,13,1,0,49,7|5|7|10|2|6|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,65,107,0.0,0.16326530612244897,48,13,1,0,48,5|5|7|10|2|6|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,66,108,0.0,0.1836734693877551,49,13,1,0,49,4|5|7|10|2|6|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,67,109,0.0,0.1836734693877551,48,13,1,0,48,3|5|7|10|2|6|5|1|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,68,110,0.0,0.1836734693877551,47,13,1,0,47,3|5|7|10|2|6|5|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,69,111,0.0,0.20408163265306123,49,13,1,1,49,2|5|7|10|2|6|5|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,70,112,0.0,0.20408163265306123,48,13,3,1,48,1|5|7|10|2|6|5|1|2|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,71,113,0.0,0.1836734693877551,47,13,13,0,47,5|7|10|2|6|5|1|2|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,72,114,0.0,0.20408163265306123,46,13,12,1,46,4|7|10|2|6|3|1|1|2|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,73,115,0.0,0.1836734693877551,45,13,12,0,45,4|7|10|2|6|5|1|2|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,74,116,0.0,0.1836734693877551,44,13,12,0,44,2|7|10|2|6|5|1|2|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,75,117,0.0,0.20408163265306123,49,13,12,1,49,2|7|10|2|6|5|1|2|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,76,118,0.0,0.22448979591836735,48,13,12,1,48,1|7|10|2|6|3|1|1|2|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,77,119,0.0,0.1836734693877551,47,13,12,0,47,7|10|2|6|5|1|2|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,78,120,0.0,0.16326530612244897,46,13,12,0,46,7|10|2|6|5|1|2|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,79,121,0.0,0.16326530612244897,45,13,12,0,45,6|10|2|6|5|1|2|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,80,122,0.0,0.16326530612244897,44,13,12,0,44,5|10|2|6|5|1|2|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,81,123,0.0,0.1836734693877551,43,13,12,0,43,4|10|2|6|3|1|1|2|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,82,124,0.0,0.1836734693877551,42,13,12,0,42,3|10|2|6|5|1|2|4|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,83,125,0.0,0.16326530612244897,41,13,12,0,41,3|10|2|6|5|1|2|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.076,84,126,0.0,0.1836734693877551,40,13,12,0,40,1|10|2|6|5|1|2|4|9,network_wide,49
chain,50,0.01,0.02,0.0,0.076,85,127,0.0,0.1836734693877551,39,13,12,0,39,10|2|6|3|1|1|2|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.076,86,128,0.0,0.14285714285714285,38,13,12,0,38,10|2|6|5|1|2|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.076,87,129,0.0,0.16326530612244897,49,13,12,0,49,9|2|6|5|1|2|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.076,88,130,0.0,0.20408163265306123,48,13,12,1,48,9|2|6|3|1|1|2|4|11|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,89,131,0.0,0.1836734693877551,49,13,12,0,49,7|2|6|5|1|2|5|11|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,90,132,0.0,0.1836734693877551,46,13,12,0,46,6|2|6|3|1|1|2|5|11|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,91,133,0.0,0.1836734693877551,47,13,12,0,47,5|2|6|5|1|2|5|11|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,92,134,0.0,0.20408163265306123,46,13,12,1,46,4|2|6|3|1|1|2|5|11|1|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,93,135,0.0,0.20408163265306123,49,13,12,1,49,3|2|6|5|1|2|5|11|1|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,94,136,0.0,0.22448979591836735,48,13,12,1,48,2|2|6|3|1|1|2|5|11|1|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,95,137,0.0,0.22448979591836735,49,13,12,1,49,1|2|6|5|1|2|5|11|1|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,96,138,0.0,0.24489795918367346,48,13,12,1,48,1|2|6|3|1|1|2|5|11|1|3|1|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,97,139,0.0,0.24489795918367346,47,13,18,1,47,2|6|3|1|1|2|4|11|1|3|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,98,140,0.0,0.22448979591836735,49,13,18,1,49,1|6|5|1|2|5|11|1|3|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,99,141,0.0,0.22448979591836735,48,13,18,1,48,1|6|3|1|1|2|5|11|5|1|2|1,network_wide,49
chain,50,0.01,0.02,0.0,0.077,0,42,0.0,0.24489795918367346,47,19,4,1,47,3|4|5|1|7|2|4|1|8|2,network_wide,49
chain,50,0.01,0.02,0.0,0.077,1,43,0.0,0.24489795918367346,46,19,5,1,46,2|4|5|1|7|2|4|1|8|3,network_wide,49
chain,50,0.01,0.02,0.0,0.077,2,44,0.0,0.24489795918367346,45,19,4,1,45,2|4|5|1|7|2|4|1|8|4,network_wide,49
chain,50,0.01,0.02,0.0,0.077,3,45,0.0,0.24489795918367346,44,19,4,1,44,1|4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.077,4,46,0.0,0.24489795918367346,49,19,4,1,49,4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.077,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|7|2|4|1|8|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.077,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|7|2|4|1|8|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.077,7,49,0.0,0.24489795918367346,46,19,5,1,46,1|5|1|7|2|4|1|8|5|3,network_wide,49
