disturbance_level,coupling_delay,trust_coupling,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
0.2,0,0.01,10,52,0.9999999999999988,0.9124710097155804,1.0,1.0,0,0,0,0,1.0,0.7862255360820083,0,0,-0.01285520706413762,0.07157327675160922,0
0.2,0,0.01,11,53,0.9999999999999967,0.9993091557493088,1.0,0.9,0,0,0,1,1.0,0.9994412503834731,1,0,-0.034189417764098826,0.0663056397456046,0
0.2,0,0.01,12,54,0.9995689233912798,0.9999306323975689,1.0,1.0,0,0,0,0,0.9199085587094857,0.9666744221552002,0,0,0.33032309821027134,0.0291751339528391,0
0.2,0,0.01,13,55,0.9999999997196679,0.9959262846205066,1.0,1.0,0,0,0,0,1.0,0.9770916889968096,0,0,0.5347807413473366,0.02249757032297003,0
0.2,0,0.01,14,56,0.9999999999999967,0.896487371518845,1.0,1.0,0,0,0,0,0.9900657310740004,0.7375576347886817,0,0,0.12615320956214426,0.0714072266882108,0
0.2,0,0.01,15,57,0.9974912655379227,0.9998442980802653,1.0,1.0,0,0,0,0,0.9209761221926486,0.9503050877702962,0,0,0.3511234337087854,0.02711798322703888,0
0.2,0,0.01,16,58,0.999999999999999,0.9794399514164295,1.0,0.83,0,0,0,1,1.0,0.9231242966663445,1,0,-0.21643256063146046,0.12229465703522341,0
0.2,0,0.01,17,59,0.9999829006251738,0.9911306555986771,1.0,1.0,0,0,0,0,1.0,0.9202314094297961,0,0,0.29487188806879855,0.06486666732191027,0
0.2,0,0.01,18,60,0.9999999999999987,0.7222102078553516,1.0,0.94,0,1,0,0,0.9268835849462049,0.5370615218915763,1,1,-0.10748741442637406,0.09545566543370983,0
0.2,0,0.01,19,61,0.9999969268168036,0.9680414403697023,1.0,1.0,0,0,0,0,1.0,0.8600464226817838,0,0,-0.09531251958606665,0.08821760158266971,0
0.2,0,0.02,0,42,0.9999999999999973,0.9870708856026075,1.0,1.0,0,0,0,0,0.9793252301424038,0.938744181534868,0,0,0.42508565583618174,0.026847884088439914,0
0.2,0,0.02,1,43,0.9824565182728809,0.9287803848620679,1.0,1.0,0,0,0,0,0.8912900255915,0.8446344039563495,0,0,0.3654701406536832,0.03349291343005793,0
0.2,0,0.02,2,44,0.9999999747025914,0.9998378931653555,1.0,1.0,0,0,0,0,0.9871973795895909,1.0,0,0,0.24647905407104026,0.03500056887951733,0
0.2,0,0.02,3,45,0.999999999999999,0.9999818878990892,1.0,1.0,0,0,0,0,1.0,0.9964883445098841,0,0,0.17866736800289398,0.0464259499554643,0
0.2,0,0.02,4,46,0.99999999919798,0.9579665448435858,1.0,1.0,0,0,0,0,1.0,0.9057241316692403,0,0,0.3250319116277276,0.024557429724375482,0
0.2,0,0.02,5,47,0.9999999999999891,0.9478209135729583,1.0,1.0,0,0,0,0,1.0,0.8614732420491314,0,0,0.0642504082406279,0.04973268956688944,0
0.2,0,0.02,6,48,0.999999999998907,0.9999830722801243,1.0,0.8,0,0,0,1,1.0,0.9966426152244041,1,0,-0.07561139689257598,0.09688315599030652,0
0.2,0,0.02,7,49,0.999999999999998,0.9745986747546772,1.0,1.0,0,0,0,0,1.0,0.9070929209947276,0,0,0.29992304021097893,0.03291367257057582,0
0.2,0,0.02,8,50,0.9999999999983015,0.7907906270835021,1.0,0.68,0,1,0,0,1.0,0.6924639147762411,1,1,-0.1017704050916317,0.11683457322245473,0
0.2,0,0.02,9,51,0.999999983282466,0.8905447659934619,1.0,0.72,0,0,0,1,1.0,0.7562360058381336,1,0,0.18562223301512445,0.11513706203843825,0
0.2,0,0.02,10,52,0.9999999999999989,0.9723583110966816,1.0,1.0,0,0,0,0,1.0,0.9037227936661935,0,0,0.20626219085944764,0.03700298404365664,0
0.2,0,0.02,11,53,0.9999999999999972,0.9999565350256822,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.13538697949590706,0.034235325392925293,0
0.2,0,0.02,12,54,0.9999999999999905,0.9999995419176744,1.0,1.0,0,0,0,0,0.9770170358868109,0.9887671159568361,0,0,0.4853798587434503,0.016260695342642646,0
0.2,0,0.02,13,55,0.9999999999999987,0.9999984468180942,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8961908459843921,0.005429138375982243,0
0.2,0,0.02,14,56,0.9999999999999986,0.9461128494484418,1.0,1.0,0,0,0,0,1.0,0.850972156601233,0,0,0.2878505923643329,0.03682156906235201,0
0.2,0,0.02,15,57,0.9998498080007655,0.9999999999999953,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.899320115557037,0.007053190378074407,0
0.2,0,0.02,16,58,0.999999999999999,0.995733869391229,1.0,1.0,0,0,0,0,1.0,1.0,0,0,-0.019407412573966883,0.0713272741447074,0
0.2,0,0.02,17,59,0.9999917440759862,0.9980796552511204,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5362716971917244,0.03748840811434155,0
0.2,0,0.02,18,60,0.9999999999999988,0.7861998052159884,1.0,0.97,0,1,0,0,0.9723096335392337,0.6449015177595511,1,1,0.04155221005226516,0.05655972224421315,0
0.2,0,0.02,19,61,0.9999982212162936,0.9999322708784761,1.0,1.0,0,0,0,0,1.0,0.9925575611670381,0,0,0.1474172205818732,0.043975942438176874,0
0.2,0,0.05,0,42,0.9999999999999988,0.9895255409297926,1.0,1.0,0,0,0,0,1.0,0.9816770721650249,0,0,0.9342657544206271,0.0042884750805415916,0
0.2,0,0.05,1,43,0.9883690931107048,0.9959683434681885,1.0,1.0,0,0,0,0,0.9590848083598956,1.0,0,0,0.7048589488471425,0.009248298269194634,0
0.2,0,0.05,2,44,0.9999999968078209,0.9999943824685993,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8929344853358596,0.004901938686440036,0
0.2,0,0.05,3,45,0.999999999999999,0.9999991006719604,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.673956818957552,0.01037301763053304,0
0.2,0,0.05,4,46,0.9999999999239524,0.9956235779323311,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.7554102031677523,0.006253929209337022,0
0.2,0,0.05,5,47,0.9999999999999987,0.997584648091167,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9204496818200282,0.005748952098734336,0
0.2,0,0.05,6,48,0.9999999999997183,0.9999998363721921,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.22901601875780328,0.02594768204375759,0
0.2,0,0.05,7,49,0.9999999999999987,0.9999409085128513,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6136522983805034,0.008708517018581264,0
0.2,0,0.05,8,50,0.9999999999995731,0.9891293443330981,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.29247872398448604,0.03019137065364106,0
0.2,0,0.05,9,51,0.9999999998427285,0.9599367268250953,1.0,1.0,0,0,0,0,1.0,0.9559837087652666,0,0,0.41641445544916994,0.031057410042528967,0
0.2,0,0.05,10,52,0.999999999999999,0.9992126056077149,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9241236281328185,0.004651668115779824,0
0.2,0,0.05,11,53,0.9999999999999984,0.9999957790194463,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5243272058601516,0.011432840664900364,0
0.2,0,0.05,12,54,0.999999999999997,0.9999999880757305,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.893573227535979,0.003515541495358433,0
0.2,0,0.05,13,55,0.9999999999999988,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9983113510711181,0.0009639971284018711,0
0.2,0,0.05,14,56,0.9999999999999989,0.9800483506547902,1.0,1.0,0,0,0,0,1.0,0.9863930241042012,0,0,0.9633226691722993,0.002428084900601757,0
0.2,0,0.05,15,57,0.9999999999999972,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9570961706005757,0.004390368615449264,0
0.2,0,0.05,16,58,0.999999999999999,0.9997199863124697,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6002967158641549,0.014079387649486392,0
0.2,0,0.05,17,59,0.9999988040221791,0.9998946053424812,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9405609931705391,0.006094820454178033,0
0.2,0,0.05,18,60,0.999999999999999,0.9150336006215033,1.0,1.0,0,0,0,0,1.0,0.8951256246332899,0,0,0.5845413793228609,0.010285952600009139,0
0.2,0,0.05,19,61,0.9999999999999989,0.9999954859186067,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8444205504602892,0.007121409096635794,0
0.2,0,0.1,0,42,0.999999999999999,0.9895256812108646,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9612529221487879,0.00305611755129117,0
0.2,0,0.1,1,43,0.9892693507337681,0.9978461150301985,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8671014333777437,0.0058568924695332845,0
0.2,0,0.1,2,44,0.9999999971256969,0.9999967071339718,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9472199974189416,0.0034309812191007094,0
0.2,0,0.1,3,45,0.999999999999999,0.9999994478509219,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8486377222403789,0.005776144659806863,0
0.2,0,0.1,4,46,0.9999999999366169,0.998533373404381,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9023655973646475,0.00389038344834404,0
0.2,0,0.1,5,47,0.999999999999999,0.9980931291969484,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9634368988098733,0.003600506199862681,0
0.2,0,0.1,6,48,0.9999999999997174,0.9999999490142176,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5156409504208126,0.012692637356804582,0
