D_hub_cap,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.2,14,56,0.9932668184464049,0.8956487296376711,0.9463276836158191,1.0,1,12,138,0.11974280018077367,0.11974280018077367,1
0.2,15,57,0.42959752029908244,0.371189203754032,0.15152542372881356,0.3050847457627119,0,,0,0.9188963816396679,0.9188963816396679,0
0.2,16,58,0.9987383281499335,0.8933094482276686,0.9496045197740114,1.0,1,11,139,0.1198551379851802,0.1198551379851802,1
0.2,17,59,0.4946744560769234,0.39769659650941924,0.19548022598870055,0.4406779661016949,0,,0,0.8788821311175445,0.8788821311175445,0
0.2,18,60,0.9949271915517774,0.8988818113603426,0.9489265536723163,1.0,1,11,139,0.11482648221622177,0.11482648221622177,1
0.2,19,61,0.978747091938573,0.8937370728632523,0.9482485875706215,1.0,1,11,139,0.12738361901100914,0.12738361901100914,1
0.2,20,62,0.9973769466665383,0.9000229572759115,0.9503954802259886,1.0,1,10,140,0.11316781967618894,0.11316781967618894,1
0.2,21,63,0.4787632328605579,0.3848554810211509,0.19988700564971743,0.576271186440678,0,,0,0.8750061308943262,0.8750061308943262,0
0.2,22,64,0.9981973275094937,0.8871767712950325,0.9497175141242938,1.0,1,10,140,0.10882625024823175,0.10882625024823175,1
0.2,23,65,0.964317740778853,0.8912269707971273,0.9477966101694915,1.0,1,11,139,0.11399594596297019,0.11399594596297019,1
0.2,24,66,0.9975879009281035,0.8968167584899874,0.9485875706214689,1.0,1,10,140,0.10967298862626132,0.10967298862626132,1
0.2,25,67,0.4223920435432657,0.38480297281665854,0.19683615819209038,0.3898305084745763,0,,0,0.8860325505203542,0.8860325505203542,0
0.2,26,68,0.9987073334885406,0.9013104537814989,0.9482485875706215,1.0,1,11,139,0.10661682394618714,0.10661682394618714,1
0.2,27,69,0.9917311193121936,0.8757427875490328,0.945310734463277,1.0,1,11,139,0.11235227946054459,0.11235227946054459,1
0.2,28,70,0.45870462723935035,0.3864753305277783,0.18711864406779666,0.3389830508474576,0,,0,0.8484304731426837,0.8484304731426837,0
0.2,29,71,0.9999171050109251,0.8954057202599153,0.9470056497175142,1.0,1,11,139,0.10679979459866355,0.10679979459866355,1
0.1,0,42,0.9939964925984625,0.8830319764729396,0.9404519774011297,1.0,1,12,138,0.16762863709265183,0.16762863709265183,1
0.1,1,43,0.9942733457293229,0.8937393228016234,0.9413559322033898,1.0,1,12,138,0.17654001826070978,0.17654001826070978,1
0.1,2,44,0.9971269539721717,0.8865113762975868,0.9404519774011297,1.0,1,11,139,0.17327236786547404,0.17327236786547404,1
0.1,3,45,0.9912037867625603,0.903111290885096,0.9379661016949152,1.0,1,15,135,0.1617202046207732,0.1617202046207732,1
0.1,4,46,0.9983162178905323,0.9033411893227149,0.9393220338983049,1.0,1,16,134,0.16045187743507186,0.16045187743507186,1
0.1,5,47,0.9932689509677123,0.8866550976759169,0.9369491525423729,1.0,1,15,135,0.1678068175606445,0.1678068175606445,1
0.1,6,48,0.9902925348107027,0.8921611865650613,0.9379661016949152,1.0,1,15,135,0.15674019907793454,0.15674019907793454,1
0.1,7,49,0.50302946816984,0.3896820430411496,0.15819209039548024,0.3898305084745763,0,,0,0.891423131583154,0.891423131583154,0
0.1,8,50,0.9980392161275646,0.8979144123634802,0.93909604519774,1.0,1,15,135,0.15090008373697303,0.15090008373697303,1
0.1,9,51,0.9999999806526173,0.9011278137479497,0.9370621468926553,1.0,1,15,135,0.151692360032753,0.151692360032753,1
