test_name,scenario,run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization,first_stressor
blocking_fine_sweep_v13,fine_fmin_027_agov_010,8,50,0.9541731661351777,0.7105680036281917,0.9999791199818859,0.934603025051269,0.09348336906729982,0.12322985167446698,0.9466666666666667,32,38,0,1,0,,0.814710591334767,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,9,51,0.9999987401119936,0.7041835036696381,0.9999987401119936,1.0,0.07313840068288599,0.18791380599707963,0.96,49,55,0,1,0,,0.8199070988731223,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,10,52,0.8889050420576924,0.8421198897342116,0.9999990320658616,0.7944775957772584,0.10089078003141772,0.16194437083625757,1.0,,,1,0,0,,0.7769222856999635,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,11,53,0.9288771667478282,0.7577051294050487,0.9995735369747923,0.904146426856287,0.07039747174819805,0.13253177058056875,0.9266666666666666,71,75,0,1,0,,0.8273620520080042,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,12,54,0.9995305345473819,0.6553588497751217,0.9995305345473819,1.0,0.07708262037553096,0.1700311093799,0.88,11,21,0,1,0,,0.8497057199149916,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,13,55,0.9323671952521364,0.7099567598622092,0.9999793854456934,0.8324128490027575,0.10650558995839186,0.12743580184148917,0.8933333333333333,47,51,0,1,0,,0.8540440532439608,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,14,56,0.9782432589360711,0.7258075061193611,0.9999634985050136,0.8849787822636241,0.08762154865556461,0.12464418194525034,0.9666666666666667,31,36,0,1,0,,0.8262914506743896,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,15,57,0.8426536594652646,0.7447094652575863,0.9969446663046305,0.7222430972403597,0.1757699060910597,0.21833190067313296,0.8733333333333333,4,6,0,1,0,,0.859865983860896,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,16,58,0.999820418865036,0.6292055428812988,0.9999183906347628,1.0,0.06175940552920484,0.13307729940067412,0.9466666666666667,65,73,0,1,0,,0.7862044552772134,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,17,59,0.999758583892894,0.7169408876087426,0.9999300746646482,1.0,0.12902078441732215,0.12563954015851017,0.9466666666666667,36,43,0,1,0,,0.8060948377544191,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,18,60,0.9586123676167811,0.7506057637040694,0.9973919915705949,0.8716589181089953,0.15745584735325224,0.1408607514190408,0.9666666666666667,49,54,0,1,0,,0.8657168012240567,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,19,61,0.9803130995636987,0.7617353797621889,0.999992530995621,0.8233003546929308,0.24809125042418573,0.19120178321708978,0.9533333333333334,34,37,0,1,0,,0.8101297355799556,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,20,62,0.9799044316791335,0.793164739619881,0.9997832880596886,0.9022795236224738,0.10200207730314031,0.13966724471404418,0.9933333333333333,83,84,0,1,0,,0.8312843806787549,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,21,63,0.9993609344687309,0.8131324996835734,0.9999978366385439,1.0,0.09730158427727453,0.14834490744091008,1.0,,,1,0,0,,0.7810508114936513,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,22,64,0.9892873977812394,0.6605361538489939,0.9996365618257793,0.8742006367823161,0.08540019833220591,0.18679974807620991,0.7933333333333333,8,11,0,1,0,,0.8644209498404746,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,23,65,0.9778809843984578,0.8026617078137973,0.9999981390419006,0.893578137790798,0.5699802179695067,0.22977910193931497,1.0,,,1,0,0,,0.8090949368477403,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,24,66,0.9922035590080966,0.7809149876002563,0.9999628679256112,0.9498219151213871,0.078030824049309,0.17757244059797384,0.98,36,39,0,1,0,,0.8207199898124943,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,25,67,0.8921847278837595,0.6448235957984177,0.9999384210305978,0.7156006120006754,0.17106798419802377,0.21928228944020967,0.8733333333333333,3,5,0,1,0,,0.8082415607476775,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,26,68,0.9988714849433573,0.761908819647285,0.9999999001846811,1.0,0.05863678792173013,0.1321535241515616,0.96,91,93,0,1,0,,0.7939272135759387,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,27,69,0.8681477711975562,0.7531360176874321,0.9999969473974012,0.8216758454398436,0.11209511886663628,0.1813595693066826,0.9533333333333334,141,148,0,1,0,,0.8099476150213017,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,28,70,0.9854474387270474,0.5873638955393865,0.9999940289830069,0.9018277723837477,0.576037972876828,0.2218946278937509,0.8466666666666667,6,15,0,1,0,,0.8143208646222634,disturbance
blocking_fine_sweep_v13,fine_fmin_027_agov_010,29,71,0.9965028333443529,0.6077768298252568,0.9999936769932645,0.8736436705126159,0.13889188356623455,0.20137343112837353,0.9,12,16,0,1,0,,0.7936843934812858,disturbance
blocking_fine_sweep_v13,fine_fmin_028_agov_010,0,42,0.9978615672859124,0.825705170056252,0.9999360733993123,0.8746506632590176,0.16471964566671105,0.19861717691963954,1.0,,,1,0,0,,0.7960360328422837,disturbance
blocking_fine_sweep_v13,fine_fmin_028_agov_010,1,43,0.9512154181314918,0.6160818479481838,0.999917571097827,0.8867675375185038,0.15922482476743094,0.16966908961295052,0.8533333333333334,45,49,0,1,0,,0.851765777764496,disturbance
