label,run_index,seed,disturbance_coupling,cognition_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
coupling_sweep_k_0.50,18,60,0.5,0.5,0.25449860581815453,0.20794141468422409,0.09,0.06,1,1,0,0,0.0,0.0,1,1,0.9660664132033877,0.06508084223978282,1
coupling_sweep_k_0.50,19,61,0.5,0.5,0.26339043578298427,0.2090266739658633,0.09,0.06,1,1,0,0,0.0,0.0,1,1,0.9567922988068883,0.06781608199812166,1
reverse_asymmetry_a_weak_b_strong,0,42,0.05,0.05,0.981300215647619,0.9999999999999989,0.94,1.0,0,0,1,0,0.8614785785951171,0.9620803161031841,0,0,0.4620215705204916,0.04598969704742642,0
reverse_asymmetry_a_weak_b_strong,1,43,0.05,0.05,0.8747948720328208,0.9999999999685271,0.78,1.0,0,0,1,0,0.6512283114359425,1.0,0,0,0.33205148457783407,0.10258523372817091,0
reverse_asymmetry_a_weak_b_strong,2,44,0.05,0.05,0.8330106502912689,0.9999999999999988,0.96,1.0,0,0,1,0,0.6581965329850842,1.0,0,0,0.12640331977691682,0.11023248274411296,0
reverse_asymmetry_a_weak_b_strong,3,45,0.05,0.05,0.9169337330012048,0.999999990110039,1.0,1.0,0,0,0,0,0.7936636287962927,1.0,0,0,0.2835639909733801,0.07214471083073246,0
reverse_asymmetry_a_weak_b_strong,4,46,0.05,0.05,0.9381960663218675,0.9997543595343563,0.84,1.0,0,0,1,0,0.8050866154540485,1.0,0,0,0.1373772588059539,0.0906110841222071,0
reverse_asymmetry_a_weak_b_strong,5,47,0.05,0.05,0.9464153420697444,0.999999999999999,0.54,1.0,0,0,1,0,0.8024834926538521,1.0,0,0,-0.06019232433381223,0.19877754378043366,0
reverse_asymmetry_a_weak_b_strong,6,48,0.05,0.05,0.8759155447873536,0.9999999680013749,0.89,1.0,0,0,1,0,0.7202275768795151,1.0,0,0,0.35255734068161504,0.11136902228520039,0
reverse_asymmetry_a_weak_b_strong,7,49,0.05,0.05,0.9259769689116762,0.9999999993326454,0.92,1.0,0,0,1,0,0.7812458364340359,1.0,0,0,0.3644806702417961,0.10312772382248006,0
