k_D_value,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.11,17,59,0.3591464682906804,0.2690494808989967,0.21480225988700552,0.4915254237288136,0,,0,0.900554310721714,0.900554310721714,0
0.11,18,60,0.8628951454852277,0.7825908446143985,0.9624858757062147,1.0,1,8,142,0.09151692157762317,0.09151692157762317,1
0.11,19,61,0.8559099850480574,0.7613447324653433,0.9612429378531074,1.0,1,9,141,0.08312330769805708,0.08312330769805708,1
0.11,20,62,0.8815648841047765,0.7816740898747812,0.9616949152542372,1.0,1,9,141,0.08627523315785639,0.08627523315785639,1
0.11,21,63,0.35213693698268816,0.29055644401897873,0.23807909604519775,0.4915254237288136,0,,0,0.8794759831700301,0.8794759831700301,0
0.11,22,64,0.3516728010480226,0.25126795386847817,0.20497175141242938,0.4915254237288136,0,,0,0.8952377317383396,0.8952377317383396,0
0.11,23,65,0.8357260414480583,0.7664830885139138,0.9598870056497175,1.0,1,9,141,0.08476017666767646,0.08476017666767646,1
0.11,24,66,0.3549713702023657,0.28562209847815345,0.23412429378531058,0.5932203389830508,0,,0,0.8895482165968149,0.8895482165968149,0
0.11,25,67,0.3214270724369507,0.24635131460787824,0.21875706214689256,0.423728813559322,0,,0,0.8893861164721921,0.8893861164721921,0
0.11,26,68,0.9033694186449072,0.7748403690984647,0.96045197740113,1.0,1,9,141,0.07303725054317235,0.07303725054317235,1
0.11,27,69,0.3410316551779816,0.265568180811263,0.23717514124293781,0.4915254237288136,0,,0,0.9124752694058998,0.9124752694058998,0
0.11,28,70,0.3276635544021726,0.2452028525751744,0.22135593220338984,0.4406779661016949,0,,0,0.871453433318526,0.871453433318526,0
0.11,29,71,0.8504243838802376,0.733043516645916,0.96,1.0,1,9,141,0.08045355311547243,0.08045355311547243,1
0.12,0,42,0.33058716798496685,0.28019718871164334,0.24282485875706192,0.5423728813559322,0,,0,0.9021677320829954,0.9021677320829954,0
0.12,1,43,0.3422615880118072,0.24677570905275426,0.2300564971751414,0.6271186440677966,0,,0,0.9215745149689525,0.9215745149689525,0
0.12,2,44,0.35359993337692336,0.26261834303312187,0.22361581920903945,0.5423728813559322,0,,0,0.9226292351502071,0.9226292351502071,0
0.12,3,45,0.8555074214368094,0.7634780597091132,0.963502824858757,1.0,1,7,143,0.09957258955607418,0.09957258955607418,1
0.12,4,46,0.8375224838495756,0.7371119921034441,0.9636158192090395,1.0,1,7,143,0.11023115204857721,0.11023115204857721,1
0.12,5,47,0.34090720525506424,0.2708176432997578,0.2039548022598869,0.4576271186440678,0,,0,0.9015967915370753,0.9015967915370753,0
0.12,6,48,0.8491041310450386,0.7500873601353749,0.9607909604519773,1.0,1,9,141,0.09093685021004852,0.09093685021004852,1
0.12,7,49,0.3564497420321926,0.2661445330145136,0.21344632768361593,0.4406779661016949,0,,0,0.9016437768710304,0.9016437768710304,0
0.12,8,50,0.8985453438565836,0.7525094337770718,0.9616949152542372,1.0,1,8,142,0.09092397854807042,0.09092397854807042,1
0.12,9,51,0.8776312413457112,0.7701880129133234,0.9624858757062147,1.0,1,8,142,0.07752784226049252,0.07752784226049252,1
0.12,10,52,0.33981092041210376,0.2953940672422898,0.2639548022598866,0.6440677966101694,0,,0,0.9058101402543547,0.9058101402543547,0
0.12,11,53,0.35386273701069026,0.2755607695539346,0.23209039548022592,0.4745762711864407,0,,0,0.9073598286144188,0.9073598286144188,0
0.12,12,54,0.37166015479173475,0.2525558998902105,0.22418079096045185,0.5084745762711864,0,,0,0.8889202671422458,0.8889202671422458,0
0.12,13,55,0.3475783311914323,0.268403338558191,0.2045197740112994,0.4406779661016949,0,,0,0.9087720617086906,0.9087720617086906,0
0.12,14,56,0.8620853187456886,0.767261376247731,0.9593220338983052,1.0,1,10,140,0.08211724966955909,0.08211724966955909,1
0.12,15,57,0.32938833387484145,0.27056366769225026,0.2058757062146893,0.4067796610169492,0,,0,0.9117201628870851,0.9117201628870851,0
0.12,16,58,0.861904737700585,0.7371443875527756,0.9623728813559322,1.0,1,9,141,0.09004973891640101,0.09004973891640101,1
0.12,17,59,0.35814228558713873,0.26862768695398415,0.2345762711864405,0.5423728813559322,0,,0,0.8916583361422076,0.8916583361422076,0
0.12,18,60,0.8621971747911537,0.7818765544048416,0.962824858757062,1.0,1,8,142,0.08379454377486942,0.08379454377486942,1
0.12,19,61,0.8548655149036812,0.7607328651081293,0.9637288135593219,1.0,1,8,142,0.08841696633888477,0.08841696633888477,1
0.12,20,62,0.8799128819663932,0.7806485111304504,0.9633898305084745,1.0,1,9,141,0.07937068210075575,0.07937068210075575,1
0.12,21,63,0.35129739376225944,0.29017097543833664,0.25276836158192073,0.5254237288135594,0,,0,0.8763941477390477,0.8763941477390477,0
0.12,22,64,0.35043572727079836,0.25073177381050504,0.231864406779661,0.5254237288135594,0,,0,0.87716505979425,0.87716505979425,0
0.12,23,65,0.8349806976617101,0.7659836393500219,0.9607909604519773,1.0,1,9,141,0.08096897878247161,0.08096897878247161,1
0.12,24,66,0.35365350075058477,0.28514955509421835,0.25389830508474565,0.6101694915254238,0,,0,0.8737395712157868,0.8737395712157868,0
0.12,25,67,0.3206622950434964,0.24605468884352288,0.2453107344632768,0.4915254237288136,0,,0,0.882040820028789,0.882040820028789,0
