s_threshold,run_index,seed,trigger_A_fired,sustained_ignition_observed,false_alarm,network_failure_rate,final_cooperation,final_trust
0.5,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.5,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.5,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.5,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.5,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.5,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.5,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.5,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.5,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.55,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.55,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.55,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.55,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.55,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.55,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.55,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.55,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.55,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.55,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.55,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.55,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.55,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.55,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.55,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.55,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.55,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.55,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.55,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.55,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.55,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.55,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.55,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.55,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.55,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.55,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.55,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.55,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.55,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.55,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.6,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.6,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.6,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.6,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.6,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.6,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.6,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.6,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.6,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.6,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.6,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.6,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.6,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.6,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.6,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.6,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.6,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.6,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.6,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.6,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.6,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.6,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.6,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.6,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.6,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.6,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.6,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.6,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.6,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.6,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.65,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.65,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.65,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.65,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.65,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
