scenario,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
node_a_high_node_b_low,16,58,0.9999999999999989,0.9784449021948046,1.0,0.8,0,0,0,1,1.0,0.8851376143633444,1,0,-0.21993353552871303,0.1235306002690449,0
node_a_high_node_b_low,17,59,0.9999890550915588,0.9895994029014785,1.0,1.0,0,0,0,0,1.0,0.8800448249128087,0,0,0.27216585369706503,0.0636609559075928,0
node_a_high_node_b_low,18,60,0.9999999999993823,0.7306848255172709,1.0,0.94,0,1,0,0,0.9345355946417054,0.5346628886577784,1,1,-0.10468409137012219,0.09349886023742451,0
node_a_high_node_b_low,19,61,0.999999131454715,0.9543259863073279,1.0,1.0,0,0,0,0,1.0,0.8098946841997448,0,0,-0.10136606260942904,0.08922782295017008,0
both_constraint,0,42,0.5051593558530499,0.5381620870837799,0.08,0.18,1,1,1,1,0.22478813428273287,0.27805644238858096,1,1,0.44999915733760487,0.10895169054796551,1
both_constraint,1,43,0.2926366315924164,0.39725523190935397,0.0,0.06,1,1,0,0,0.0,0.11053401730959608,1,1,0.5804885648437381,0.11322484729004902,1
both_constraint,2,44,0.4659352311051161,0.729458739249901,0.03,0.21,1,1,0,0,0.13906092181150898,0.581758592169024,1,1,0.7123504840741528,0.14282909203104924,1
both_constraint,3,45,0.3334948772358441,0.5354569008980105,0.06,0.1,1,1,0,0,0.018730704783213536,0.2967676213144371,1,1,0.589627053796661,0.1395605992517215,1
both_constraint,4,46,0.4645422537631887,0.34190680411856367,0.04,0.09,1,1,0,0,0.19895383910303197,0.03218456607506773,1,1,0.6639306543645562,0.11823448913729878,1
both_constraint,5,47,0.29839246768619493,0.4151947147881077,0.02,0.03,1,1,0,0,0.0,0.10401147663719089,1,1,0.8664276720297026,0.05520990677568377,1
both_constraint,6,48,0.35024453071604456,0.3012653467959358,0.07,0.04,1,1,0,0,0.01725096133015075,0.0,1,1,0.6531625511967135,0.10079204690546174,1
both_constraint,7,49,0.33305570137608576,0.28521213073593427,0.0,0.07,1,1,0,0,0.0,0.0,1,1,0.6947043873879366,0.09731403115340133,1
both_constraint,8,50,0.5023928122635236,0.34216522807843974,0.03,0.06,1,1,0,0,0.1726635249337331,0.0,1,1,0.38344809173313715,0.1632084753082001,1
both_constraint,9,51,0.2931796959941343,0.33710495125936063,0.06,0.02,1,1,0,0,0.0,7.181982275838994e-07,1,1,0.7866102629378562,0.08002387023670508,1
both_constraint,10,52,0.7674886483991963,0.4911114939886571,0.12,0.19,1,1,1,1,0.5967883182359001,0.21375394879717347,1,1,0.07080194369768647,0.1877833789719875,1
both_constraint,11,53,0.3188185646918319,0.8200614394840918,0.03,0.07,1,0,0,1,0.0,0.7080787364000934,1,0,0.272617825954023,0.1544318334623685,1
both_constraint,12,54,0.2583713566138323,0.3691734907425665,0.04,0.02,1,1,0,0,0.0,0.0535860747044935,1,1,0.4358804434862786,0.11891567758988994,1
both_constraint,13,55,0.3397735896868946,0.542874148498902,0.0,0.02,1,1,0,0,0.009784345143103196,0.3280596485414069,1,1,0.651961174323134,0.14447282373754738,1
both_constraint,14,56,0.34125640511248884,0.717258550763932,0.03,0.12,1,1,0,1,0.0,0.46315879635159646,1,1,0.41124834587260584,0.16235524432904508,1
both_constraint,15,57,0.3444795442084012,0.33957037411831054,0.0,0.1,1,1,0,1,0.026591200887967417,0.0,1,1,0.713747882121098,0.18085424988539547,1
both_constraint,16,58,0.6586462771414261,0.652639439177157,0.22,0.04,1,1,0,0,0.37786598924278036,0.4947682072467376,1,1,0.4647818501540242,0.16818451187287237,1
both_constraint,17,59,0.6913381970796408,0.7968600173329433,0.01,0.02,1,1,0,0,0.5178083479682799,0.680463574446459,1,1,0.18914048186913554,0.15855262211686635,1
both_constraint,18,60,0.31350735581720923,0.304169712560072,0.09,0.22,1,1,0,0,0.0026223658588100385,0.00016522093251999936,1,1,0.8150011153538749,0.09385212634723546,1
both_constraint,19,61,0.3511677316467588,0.34658874195752104,0.15,0.18,1,1,0,0,0.009017035033951307,0.024512149568531857,1,1,0.8745401752522493,0.08030489446766731,1
