lambda_value,run_index,seed,step,psi_base,psi_extended,cluster_variance_term,actual_network_failure_rate,trigger_A_condition_met
0.1,0,42,30,0.5545073519527186,0.5545155376086122,8.185655893525021e-05,0.3333333333333333,1
0.1,0,42,31,0.5559140726136272,0.5559222177512364,8.145137609213498e-05,0.3333333333333333,1
0.1,0,42,32,0.5496613416392218,0.5496696016380997,8.25999887804126e-05,0.3333333333333333,1
0.1,0,42,33,0.550319449887877,0.5503277510795803,8.301191703399304e-05,0.3333333333333333,1
0.1,0,42,34,0.5560372016742465,0.556045727031496,8.525357249535955e-05,0.3333333333333333,1
0.1,0,42,35,0.5558658666611495,0.5558750629303008,9.196269151327027e-05,0.3333333333333333,1
0.1,0,42,36,0.5604682505479959,0.5604794536936873,0.00011203145691505118,0.3333333333333333,1
0.1,0,42,37,0.5603441403641918,0.5603561713586792,0.00012030994487426175,0.3333333333333333,1
0.1,0,42,38,0.5469101887147857,0.5469220689534587,0.00011880238673000026,0.3333333333333333,1
0.1,0,42,39,0.5475169954809912,0.5475283405696352,0.00011345088643991693,0.3333333333333333,1
0.1,0,42,40,0.5528157639691855,0.5528269390915882,0.00011175122402692602,0.3333333333333333,1
0.1,0,42,41,0.5593945169247775,0.559404885621265,0.00010368696487557257,0.3333333333333333,1
0.1,0,42,42,0.5531795737522195,0.5531894858212086,9.912068989112436e-05,0.3333333333333333,1
0.1,0,42,43,0.5538976755950066,0.553906757199534,9.081604527433508e-05,0.3333333333333333,1
0.1,0,42,44,0.5515722107597102,0.5515811707030029,8.959943292711558e-05,0.3333333333333333,1
0.1,0,42,45,0.5548587917308578,0.5548672587054206,8.466974562791222e-05,0.3333333333333333,1
0.1,0,42,46,0.5588166058365565,0.5588243860444659,7.780207909460508e-05,0.3333333333333333,1
0.1,0,42,47,0.5545065146501413,0.554513926013528,7.411363386643213e-05,0.3333333333333333,1
0.1,0,42,48,0.5482466173999719,0.5482539688011664,7.351401194482848e-05,0.3333333333333333,1
0.1,0,42,49,0.5699467209787776,0.5699543221091327,7.601130355027785e-05,0.3333333333333333,1
0.1,0,42,50,0.5690258758975046,0.5690340991450523,8.223247547722726e-05,0.3333333333333333,1
0.1,0,42,51,0.5571357624931946,0.5571437832989224,8.020805727781188e-05,0.3333333333333333,1
0.1,0,42,52,0.5579074539084139,0.5579151963545851,7.74244617113897e-05,0.3333333333333333,1
0.1,0,42,53,0.5597881694698171,0.5597967011417639,8.5316719468391e-05,0.3333333333333333,1
0.1,0,42,54,0.5687150075572291,0.5687250288474155,0.00010021290186390148,0.3333333333333333,1
0.1,0,42,55,0.572776167477399,0.5727874485956224,0.00011281118223369557,0.3333333333333333,1
0.1,0,42,56,0.5736327401233445,0.5736449041612419,0.00012164037897408498,0.3333333333333333,1
0.1,0,42,57,0.5639003173801236,0.5639127354159678,0.0001241803584418613,0.3333333333333333,1
0.1,0,42,58,0.5595986852369945,0.5596101745251593,0.00011489288164778232,0.3333333333333333,1
0.1,0,42,59,0.5590867774524024,0.5590970240911775,0.00010246638774970477,0.3333333333333333,1
0.1,0,42,60,0.5504622608225859,0.5504718698768649,9.609054279081406e-05,0.3333333333333333,1
0.1,0,42,61,0.5538438227097464,0.5538528277009569,9.004991210426374e-05,0.3333333333333333,1
0.1,0,42,62,0.5527298559132667,0.5527395313229602,9.675409693457116e-05,0.3333333333333333,1
