batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,async_message_loss,high_stress,3,9713,22,20,31,11,federation,federation,0.333188,0.077069,0.03156,0.079226,0.14481,0.000522,0.0,0.0,0.586258,0.005223,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,3,9713,23,20,31,11,federation,federation,0.349367,0.08098,0.031675,0.080757,0.155327,0.000627,0.0,0.0,0.556209,0.006273,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,3,9713,24,20,31,11,federation,federation,0.360456,0.084692,0.03181,0.082672,0.160499,0.000781,0.0,0.0,0.54143,0.007814,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,3,9713,25,20,31,11,federation,federation,0.383673,0.090468,0.032038,0.084928,0.175353,0.000885,0.0,0.0,0.498992,0.008849,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,13,18,30,12,federation,federation,0.257513,0.055122,0.032496,0.06382,0.105888,0.000186,0.0,0.0,0.697463,0.001858,0,
grand_sim_v0_5,async_message_loss,high_stress,4,9714,14,18,30,12,federation,federation,0.262911,0.056802,0.032282,0.065495,0.108128,0.000204,0.0,0.0,0.691064,0.002039,0,
grand_sim_v0_5,async_message_loss,high_stress,4,9714,15,18,30,12,federation,federation,0.272431,0.058639,0.03205,0.067367,0.114128,0.000248,0.0,0.0,0.673921,0.002477,0,
grand_sim_v0_5,async_message_loss,high_stress,4,9714,16,18,30,12,federation,federation,0.279585,0.060834,0.031958,0.069445,0.117036,0.000311,0.0,0.0,0.66561,0.003107,0,
grand_sim_v0_5,async_message_loss,high_stress,4,9714,17,18,30,12,federation,federation,0.294281,0.064015,0.032128,0.071755,0.126059,0.000324,0.0,0.0,0.639833,0.003241,0,
grand_sim_v0_5,async_message_loss,high_stress,4,9714,18,18,30,12,federation,federation,0.302256,0.066371,0.031934,0.074362,0.129194,0.000396,0.0,0.0,0.630876,0.003959,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,19,18,30,12,federation,federation,0.314445,0.07072,0.031613,0.074911,0.136732,0.000468,0.0,0.0,0.609337,0.004685,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,20,18,30,12,federation,federation,0.321847,0.072565,0.031396,0.075933,0.141413,0.000541,0.0,0.0,0.595964,0.005405,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,21,18,30,12,federation,federation,0.334768,0.076287,0.031484,0.077209,0.149102,0.000686,0.0,0.0,0.573994,0.006865,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,22,18,30,12,federation,federation,0.348963,0.081386,0.031353,0.078877,0.156528,0.00082,0.0,0.016667,0.552778,0.008196,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,4,9714,23,18,30,12,federation,federation,0.363673,0.085001,0.0315,0.081006,0.165203,0.000963,0.0,0.016667,0.527992,0.009634,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,15,20,33,13,federation,federation,0.260334,0.056309,0.031587,0.065763,0.106536,0.00014,0.0,0.0,0.695612,0.001402,0,
grand_sim_v0_5,async_message_loss,high_stress,5,9715,16,20,33,13,federation,federation,0.266567,0.058378,0.031328,0.067538,0.109189,0.000133,0.0,0.0,0.688032,0.001332,0,
grand_sim_v0_5,async_message_loss,high_stress,5,9715,17,20,33,13,federation,federation,0.273181,0.060598,0.030799,0.069537,0.112095,0.000151,0.0,0.0,0.679728,0.001513,0,
grand_sim_v0_5,async_message_loss,high_stress,5,9715,18,20,33,13,federation,federation,0.282203,0.062898,0.030466,0.071756,0.116886,0.000196,0.0,0.0,0.666039,0.001962,0,
grand_sim_v0_5,async_message_loss,high_stress,5,9715,19,20,33,13,federation,federation,0.294804,0.065713,0.030376,0.074192,0.124279,0.000245,0.0,0.0,0.644918,0.002446,0,
grand_sim_v0_5,async_message_loss,high_stress,5,9715,20,20,33,13,federation,federation,0.30359,0.06817,0.030265,0.076873,0.127998,0.000283,0.0,0.0,0.634293,0.00283,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,21,20,33,13,federation,federation,0.310768,0.071395,0.03022,0.077468,0.131385,0.000301,0.0,0.0,0.624615,0.003007,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,22,20,33,13,federation,federation,0.319563,0.074868,0.030281,0.078445,0.135587,0.000381,0.0,0.0,0.612608,0.003814,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,23,20,33,13,federation,federation,0.338747,0.078833,0.030321,0.079803,0.149302,0.000488,0.0,0.0,0.573424,0.004878,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,24,20,33,13,federation,federation,0.347261,0.082076,0.030395,0.081556,0.152634,0.000601,0.0,0.0,0.563903,0.006006,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,5,9715,25,20,33,13,federation,federation,0.359319,0.086688,0.030461,0.083625,0.157872,0.000673,0.0,0.0,0.548936,0.006727,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,6,9716,15,20,32,12,federation,federation,0.263361,0.057891,0.031943,0.067027,0.106331,0.00017,0.0,0.0,0.696198,0.001698,0,
grand_sim_v0_5,async_message_loss,high_stress,6,9716,16,20,32,12,federation,federation,0.269161,0.05999,0.031716,0.068953,0.108292,0.000209,0.0,0.0,0.690593,0.002094,0,
grand_sim_v0_5,async_message_loss,high_stress,6,9716,17,20,32,12,federation,federation,0.28375,0.062537,0.031646,0.0711,0.118213,0.000254,0.0,0.0,0.662249,0.002545,0,
grand_sim_v0_5,async_message_loss,high_stress,6,9716,18,20,32,12,federation,federation,0.290393,0.065053,0.031664,0.073493,0.119861,0.000323,0.0,0.0,0.657541,0.003229,0,
grand_sim_v0_5,async_message_loss,high_stress,6,9716,19,20,32,12,federation,federation,0.298458,0.067725,0.03159,0.076118,0.122677,0.000348,0.0,0.0,0.649493,0.003479,0,
grand_sim_v0_5,async_message_loss,high_stress,6,9716,20,20,32,12,federation,federation,0.311067,0.071282,0.031625,0.078962,0.128789,0.000409,0.0,0.0,0.632031,0.004092,1,C07_PSI_EXTENDED
