scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,S_network,cluster_variance,max_cluster_collapse_share,trigger_A,trigger_A_source,message_loss,phase_divergence
federation_bridge_stress,high_stress,0,9380,18,18,26,8,0.307846,0.0,0.076234,0.028234,0.075622,0.127165,0.000592,0.0,0.636671,0.00592,0.0,1,C07_PSI_EXTENDED,0.09,0.234965
federation_bridge_stress,high_stress,0,9380,19,18,26,8,0.318262,0.0,0.080701,0.028126,0.076452,0.132245,0.000737,0.0,0.622158,0.007373,0.0,1,C07_PSI_EXTENDED,0.09,0.226265
federation_bridge_stress,high_stress,0,9380,20,18,26,8,0.334617,0.0,0.08588,0.028095,0.077712,0.142009,0.000923,0.033333,0.594261,0.009226,0.05,1,C07_PSI_EXTENDED,0.09,0.253661
federation_bridge_stress,high_stress,0,9380,21,18,26,8,0.351929,0.0,0.091952,0.028089,0.07943,0.151324,0.001134,0.033333,0.567647,0.011337,0.05,1,C07_PSI_EXTENDED,0.09,0.249861
federation_bridge_stress,high_stress,0,9380,22,18,26,8,0.373026,0.0,0.09873,0.027928,0.081642,0.16336,0.001365,0.066667,0.533256,0.013651,0.1,1,C07_PSI_EXTENDED,0.09,0.208814
federation_bridge_stress,high_stress,0,9380,23,18,26,8,0.389461,0.0,0.105227,0.02786,0.08435,0.170213,0.001811,0.083333,0.513676,0.01811,0.15,1,C07_PSI_EXTENDED,0.09,0.262629
federation_bridge_stress,high_stress,0,9380,24,18,26,8,0.413882,0.0,0.11417,0.028155,0.087475,0.181935,0.002147,0.166667,0.480186,0.021469,0.2,1,C07_PSI_EXTENDED,0.09,0.234965
federation_bridge_stress,high_stress,0,9380,25,18,26,8,0.437586,0.0,0.122116,0.028369,0.091127,0.193443,0.002531,0.266667,0.447307,0.025311,0.3,1,C07_PSI_EXTENDED,0.09,0.226265
federation_bridge_stress,high_stress,0,9380,26,18,26,8,0.46178,0.0,0.130707,0.028353,0.095147,0.204582,0.002991,0.416667,0.415479,0.02991,0.45,1,C07_PSI_EXTENDED,0.09,0.253661
federation_bridge_stress,high_stress,0,9380,27,18,26,8,0.485304,0.0,0.139934,0.028297,0.099481,0.214334,0.003258,0.5,0.387616,0.032578,0.55,1,C07_PSI_EXTENDED,0.09,0.249861
federation_bridge_stress,high_stress,0,9380,28,18,26,8,0.513741,0.0,0.148746,0.028345,0.104066,0.22926,0.003323,0.55,0.344972,0.033231,0.6,1,C07_PSI_EXTENDED,0.09,0.208814
federation_bridge_stress,high_stress,0,9380,29,18,26,8,0.534216,0.0,0.155008,0.028419,0.10877,0.238448,0.00357,0.6,0.31872,0.035701,0.65,1,C07_PSI_EXTENDED,0.09,0.262629
federation_cluster_attack,high_stress,0,9350,16,19,27,8,0.269486,0.0,0.06404,0.026834,0.067365,0.110898,0.00035,0.0,0.68315,0.003495,0.0,0,,0.09,0.228302
federation_cluster_attack,high_stress,0,9350,17,19,27,8,0.280023,0.0,0.067116,0.026576,0.069531,0.11636,0.00044,0.0,0.667543,0.004397,0.0,0,,0.09,0.265783
federation_cluster_attack,high_stress,0,9350,18,19,27,8,0.290123,0.0,0.070988,0.026278,0.07196,0.120364,0.000532,0.0,0.656102,0.005318,0.0,0,,0.09,0.224897
federation_cluster_attack,high_stress,0,9350,19,19,27,8,0.300745,0.0,0.07476,0.02598,0.074696,0.124645,0.000663,0.0,0.643871,0.006634,0.0,1,C07_PSI_EXTENDED,0.09,0.228302
federation_cluster_attack,high_stress,0,9350,20,19,27,8,0.313679,0.0,0.078988,0.025762,0.075325,0.13276,0.000844,0.0,0.620687,0.008442,0.0,1,C07_PSI_EXTENDED,0.09,0.265783
federation_cluster_attack,high_stress,0,9350,21,19,27,8,0.325884,0.0,0.084234,0.025646,0.076366,0.138616,0.001021,0.0,0.603954,0.010214,0.0,1,C07_PSI_EXTENDED,0.09,0.224897
federation_cluster_attack,high_stress,0,9350,22,19,27,8,0.34209,0.0,0.089404,0.025797,0.07788,0.147713,0.001295,0.016667,0.577961,0.01295,0.05,1,C07_PSI_EXTENDED,0.09,0.228302
federation_cluster_attack,high_stress,0,9350,23,19,27,8,0.357071,0.0,0.095209,0.025742,0.079834,0.154625,0.001659,0.066667,0.558214,0.016593,0.1,1,C07_PSI_EXTENDED,0.09,0.265783
federation_cluster_attack,high_stress,0,9350,24,19,27,8,0.381227,0.0,0.102462,0.025572,0.082236,0.168943,0.002014,0.116667,0.517306,0.020143,0.15,1,C07_PSI_EXTENDED,0.09,0.224897
federation_cluster_attack,high_stress,0,9350,25,19,27,8,0.400019,0.0,0.109401,0.02553,0.085144,0.177399,0.002544,0.216667,0.493145,0.025444,0.25,1,C07_PSI_EXTENDED,0.09,0.228302
federation_cluster_attack,high_stress,0,9350,26,19,27,8,0.424617,0.0,0.117109,0.025557,0.088471,0.190271,0.00321,0.283333,0.45637,0.032098,0.3,1,C07_PSI_EXTENDED,0.09,0.265783
federation_cluster_attack,high_stress,0,9350,27,19,27,8,0.449422,0.0,0.125782,0.025596,0.092202,0.20225,0.003591,0.35,0.422142,0.035912,0.4,1,C07_PSI_EXTENDED,0.09,0.224897
federation_cluster_attack,high_stress,0,9350,28,19,27,8,0.474245,0.0,0.133134,0.0256,0.096319,0.215224,0.003967,0.416667,0.385076,0.039674,0.45,1,C07_PSI_EXTENDED,0.09,0.228302
federation_cluster_attack,high_stress,0,9350,29,19,27,8,0.500877,0.0,0.140354,0.025623,0.100646,0.230008,0.004247,0.466667,0.342834,0.042467,0.5,1,C07_PSI_EXTENDED,0.09,0.265783
