batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,max_cluster_collapse_share,S_network,cluster_variance,trigger_A,trigger_A_source,message_loss,false_stability
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,94,80,95,15,0.396024,0.0,0.0578,0.06356,0.0,0.274106,0.000558,0.283333,0.85,0.216839,0.005581,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,95,80,95,15,0.398141,0.0,0.058978,0.063575,0.0,0.275171,0.000417,0.3,0.9,0.213797,0.004165,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,96,80,95,15,0.400925,0.0,0.059978,0.063664,0.0,0.276861,0.000423,0.3,0.9,0.208969,0.004229,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,97,80,95,15,0.402228,0.0,0.060772,0.063726,0.0,0.277378,0.000352,0.316667,0.95,0.207491,0.003516,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,53,55,61,6,0.275439,0.0,0.032978,0.058613,0.0,0.183238,0.00061,0.0,0.0,0.476464,0.006099,0,,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,54,55,61,6,0.295277,0.0,0.0365,0.058808,0.0,0.199088,0.000881,0.0,0.0,0.431177,0.008812,0,,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,55,55,61,6,0.316839,0.0,0.041408,0.058855,0.0,0.215553,0.001024,0.2,0.6,0.384135,0.010241,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,56,55,61,6,0.338069,0.0,0.045354,0.058949,0.0,0.232351,0.001414,0.216667,0.65,0.336141,0.014143,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,57,55,61,6,0.360992,0.0,0.050981,0.059089,0.0,0.249443,0.001478,0.216667,0.65,0.287305,0.014784,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,58,55,61,6,0.372246,0.0,0.053279,0.059165,0.0,0.257981,0.001822,0.216667,0.65,0.262913,0.018219,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,59,55,61,6,0.376393,0.0,0.055423,0.059251,0.0,0.260405,0.001314,0.216667,0.65,0.255986,0.013137,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,60,55,61,6,0.379168,0.0,0.055772,0.059432,0.0,0.262794,0.00117,0.216667,0.65,0.249159,0.011697,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,61,55,61,6,0.383067,0.0,0.057536,0.059494,0.0,0.265151,0.000886,0.3,0.9,0.242427,0.008862,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,62,55,61,6,0.385454,0.0,0.057916,0.059305,0.0,0.267476,0.000757,0.3,0.9,0.235783,0.007569,1,C07_PSI_EXTENDED,0.06,0
grand_sim_v0_5,federation_cluster_attack,mid_stress,3,9343,63,55,61,6,0.389768,0.0,0.060138,0.059397,0.0,0.269772,0.000461,0.3,0.9,0.229223,0.004608,1,C07_PSI_EXTENDED,0.06,0
