scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
hub_3_balanced,low_stress,3,9453,hub_redundant,103,57,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,4,9454,hub_redundant,94,66,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,5,9455,hub_redundant,103,57,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,6,9456,hub_redundant,99,61,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,7,9457,hub_redundant,101,59,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,8,9458,hub_redundant,102,58,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,9,9459,hub_redundant,102,58,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,0,9460,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,1,9461,hub_redundant,112,48,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,2,9462,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,3,9463,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,4,9464,hub_redundant,115,45,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,5,9465,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,6,9466,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,7,9467,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,8,9468,hub_redundant,118,42,C04_S_THRESHOLD,,0.3
hub_3_balanced,mid_stress,9,9469,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,0,9470,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,1,9471,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,2,9472,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,3,9473,hub_redundant,139,21,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,4,9474,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,5,9475,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,6,9476,hub_redundant,139,21,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,7,9477,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,8,9478,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_balanced,high_stress,9,9479,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,0,9480,hub_redundant,90,67,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,1,9481,hub_redundant,99,61,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,2,9482,hub_redundant,102,56,C04_S_THRESHOLD,,0.3
