batch_id,scenario,scenario_family,profile,run_index,seed,topology_initial,topology_final_detected,steps,a,b,c,lambda_damping,alpha_cognition,mu_cognition,k_D,k_C,k_T,k_b,break_condition_margin,f_min,kappa_min_protected,psi_lambda,psi_weight_profile,psi_threshold,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime,message_loss,final_T_mean,final_T_min,final_D_mean,final_C_mean,final_I_mean,final_S_network,final_G_formal,final_G_effective,collapse_share_peak,sustained_ignition,ignition_onset_step,trigger_A_count,trigger_A_first_step,trigger_A_source,collapse30_event_first_step,collapse40_event_first_step,cluster35_event_first_step,t_mean30_event_first_step,s_network35_event_first_step,trigger_A_lead_to_collapse30,trigger_A_lead_to_collapse40,trigger_A_lead_to_cluster35,trigger_A_lead_to_t_mean30,trigger_A_lead_to_s_network35,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,trigger_B_count,trigger_B_first_step,trigger_C_count,trigger_D_count,false_stability_steps,async_false_stability_steps,final_hub1_S,final_hub2_S,final_hub3_S,min_hub1_S,min_hub2_S,min_hub3_S,external_intervention_count,resource_exhaustion_step,max_unmet_recovery_demand,reclassification_latency_steps,star_adjacency_persist_steps
grand_sim_v0_5,ring_baseline,baseline,high_stress,2,9322,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.090279,1.0,0.0,0.169053,0.0,0.0,1.0,1,37,122,38,C04_S_THRESHOLD,35,37,,38,44,-3,-1,,0,6,0,0,0,,0,117,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,3,9323,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.088602,1.0,0.0,0.169338,0.0,0.0,1.0,1,39,121,39,C04_S_THRESHOLD,36,39,,40,46,-3,0,,1,7,0,0,0,,0,114,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,4,9324,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.089648,1.0,0.0,0.16916,0.0,0.0,1.0,1,38,121,39,C04_S_THRESHOLD,36,38,,39,45,-3,-1,,0,6,0,0,0,,0,116,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,5,9325,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.090421,1.0,0.0,0.169028,0.0,0.0,1.0,1,35,124,36,C04_S_THRESHOLD,34,35,,37,42,-2,-1,,1,6,0,0,0,,0,118,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,6,9326,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.087695,1.0,0.0,0.169492,0.0,0.0,1.0,1,37,122,38,C04_S_THRESHOLD,37,37,,39,45,-1,-1,,1,7,0,0,0,,0,116,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,7,9327,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.086829,1.0,0.0,0.169639,0.0,0.0,1.0,1,35,123,37,C04_S_THRESHOLD,33,35,,37,44,-4,-2,,0,7,0,0,0,,0,116,1,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,8,9328,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.084872,1.0,0.0,0.169972,0.0,0.0,1.0,1,34,124,36,C04_S_THRESHOLD,33,34,,36,43,-3,-2,,0,7,0,0,0,,0,118,1,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,ring_baseline,baseline,high_stress,9,9329,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,,0.3,,,,,,0.09,0.03,0.03,0.088762,1.0,0.0,0.16931,0.0,0.0,1.0,1,39,120,40,C04_S_THRESHOLD,38,39,,41,46,-2,-1,,1,6,0,0,0,,0,115,0,0,,,,,,,0,,0.0,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,0,9330,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.677021,0.03,0.091061,0.0,0.814719,0.393141,0.979784,0.979784,0.333333,0,,70,80,C07_PSI_EXTENDED,99,,83,,82,19,,3,,2,1,0,0,,0,0,0,0,,,,,,,0,135,0.003155,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,1,9331,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.677064,0.03,0.097003,0.0,0.815854,0.393435,0.970181,0.970181,0.333333,0,,70,79,C07_PSI_EXTENDED,98,,81,,82,19,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,128,0.003181,,0
