batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,async_message_loss,high_stress,0,9710,22,19,30,11,federation,federation,0.340332,0.080037,0.030874,0.081613,0.147222,0.000586,0.0,0.0,0.579366,0.005859,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,23,19,30,11,federation,federation,0.355382,0.084276,0.030826,0.083498,0.156058,0.000725,0.0,0.0,0.554121,0.007247,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,24,19,30,11,federation,federation,0.370751,0.088681,0.03084,0.085751,0.164595,0.000884,0.0,0.0,0.529729,0.008845,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,25,19,30,11,federation,federation,0.388801,0.095071,0.030756,0.088348,0.173612,0.001015,0.0,0.016667,0.503967,0.010152,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,26,19,30,11,federation,federation,0.40382,0.098787,0.030736,0.091366,0.181753,0.001178,0.0,0.016667,0.480706,0.01178,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,27,19,30,11,federation,federation,0.420976,0.104102,0.030586,0.094562,0.190252,0.001474,0.0,0.083333,0.456422,0.014742,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,28,19,30,11,federation,federation,0.440436,0.111384,0.030464,0.097978,0.198998,0.001612,0.0,0.166667,0.431434,0.016121,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,29,19,30,11,federation,federation,0.463346,0.118179,0.03022,0.101655,0.211338,0.001955,0.0,0.266667,0.396178,0.019547,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,30,19,30,11,federation,federation,0.484309,0.122573,0.031539,0.105471,0.222476,0.00225,0.0,0.316667,0.364355,0.022499,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,31,19,30,11,federation,federation,0.510096,0.129776,0.032824,0.109232,0.2357,0.002565,0.0,0.35,0.326571,0.02565,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,32,19,30,11,federation,federation,0.531052,0.137413,0.034095,0.113013,0.243696,0.002835,0.0,0.433333,0.303726,0.028353,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,33,19,30,11,federation,federation,0.55097,0.142968,0.035384,0.116772,0.253018,0.002828,0.0,0.45,0.277091,0.028276,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,34,19,30,11,federation,federation,0.561905,0.147081,0.036088,0.120368,0.255438,0.002931,0.0,0.516667,0.270178,0.029311,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,35,19,30,11,federation,federation,0.571663,0.151751,0.036861,0.123721,0.256519,0.002811,0.0,0.583333,0.267089,0.028113,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,13,18,26,8,federation,federation,0.253508,0.058799,0.029138,0.064329,0.101015,0.000227,0.0,0.0,0.711385,0.002273,0,
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,14,18,26,8,federation,federation,0.262109,0.061465,0.028899,0.066034,0.105436,0.000274,0.0,0.0,0.698753,0.002745,0,
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,15,18,26,8,federation,federation,0.271833,0.064659,0.028596,0.068001,0.110246,0.000331,0.0,0.0,0.68501,0.00331,0,
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,16,18,26,8,federation,federation,0.283276,0.068079,0.028349,0.070258,0.116193,0.000397,0.0,0.0,0.668021,0.003966,0,
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,17,18,26,8,federation,federation,0.292432,0.071478,0.028248,0.072806,0.119391,0.000509,0.0,0.0,0.658882,0.005091,0,
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,18,18,26,8,federation,federation,0.307846,0.076234,0.028234,0.075622,0.127165,0.000592,0.0,0.0,0.636671,0.00592,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,19,18,26,8,federation,federation,0.318262,0.080701,0.028126,0.076452,0.132245,0.000737,0.0,0.0,0.622158,0.007373,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,20,18,26,8,federation,federation,0.334617,0.08588,0.028095,0.077712,0.142009,0.000923,0.0,0.033333,0.594261,0.009226,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,21,18,26,8,federation,federation,0.351929,0.091952,0.028089,0.07943,0.151324,0.001134,0.0,0.033333,0.567647,0.011337,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,22,18,26,8,federation,federation,0.373026,0.09873,0.027928,0.081642,0.16336,0.001365,0.0,0.066667,0.533256,0.013651,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,23,18,26,8,federation,federation,0.389461,0.105227,0.02786,0.08435,0.170213,0.001811,0.0,0.083333,0.513676,0.01811,1,C07_PSI_EXTENDED
