scenario,profile,run_index,seed,collapse_share_peak,collapse30_event_first_step,trigger_A_first_step,trigger_A_source,trigger_A_lead_to_collapse30,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,psi_threshold,psi_weight_profile,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime
psi_corruption,low_stress,1,9661,0.333333,85,80,C07_PSI_EXTENDED,5,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,2,9662,0.333333,80,77,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,3,9663,0.333333,86,82,C07_PSI_EXTENDED,4,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,4,9664,0.333333,87,82,C07_PSI_EXTENDED,5,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,5,9665,0.333333,88,83,C07_PSI_EXTENDED,5,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,6,9666,0.333333,87,82,C07_PSI_EXTENDED,5,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,7,9667,0.333333,82,80,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,8,9668,0.333333,82,81,C07_PSI_EXTENDED,1,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,9,9669,0.333333,86,80,C07_PSI_EXTENDED,6,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,0,9670,0.333333,61,57,C07_PSI_EXTENDED,4,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,1,9671,0.333333,57,57,C07_PSI_EXTENDED,0,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,2,9672,0.333333,60,59,C07_PSI_EXTENDED,1,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,3,9673,0.333333,59,59,C07_PSI_EXTENDED,0,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,4,9674,0.333333,61,57,C07_PSI_EXTENDED,4,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,5,9675,0.333333,58,56,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,6,9676,0.333333,60,57,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,7,9677,0.333333,60,57,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,8,9678,0.333333,60,57,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,mid_stress,9,9679,0.333333,61,57,C07_PSI_EXTENDED,4,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,0,9680,1.0,25,23,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,1,9681,1.0,25,23,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,2,9682,1.0,24,22,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,3,9683,1.0,24,22,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,4,9684,1.0,28,25,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,5,9685,1.0,23,22,C07_PSI_EXTENDED,1,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,6,9686,1.0,25,23,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,7,9687,1.0,24,22,C07_PSI_EXTENDED,2,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,8,9688,1.0,27,24,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,high_stress,9,9689,1.0,24,23,C07_PSI_EXTENDED,1,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,0,9690,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,1,9691,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,2,9692,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,3,9693,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,4,9694,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,5,9695,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,6,9696,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,7,9697,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,8,9698,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,low_stress,9,9699,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,0,9700,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,1,9701,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,2,9702,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,3,9703,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,4,9704,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,5,9705,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,6,9706,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,7,9707,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,8,9708,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,mid_stress,9,9709,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,0,9710,1.0,30,19,C07_PSI_EXTENDED,11,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,1,9711,1.0,32,19,C07_PSI_EXTENDED,13,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,2,9712,1.0,31,20,C07_PSI_EXTENDED,11,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,3,9713,1.0,31,20,C07_PSI_EXTENDED,11,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,4,9714,1.0,30,18,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,5,9715,1.0,33,20,C07_PSI_EXTENDED,13,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,6,9716,1.0,32,20,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,7,9717,1.0,32,19,C07_PSI_EXTENDED,13,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,8,9718,1.0,30,18,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
async_message_loss,high_stress,9,9719,1.0,33,21,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
