disturbance_scale,recovery_scale,control_scale,alpha_scale,regime,collapse_rate,metastable_rate,mean_final_trust,mean_final_disturbance,mean_final_cognition
1.35,1.0,1.0,1.3,collapse,1.0,0.0,0.7142,0.1916,0.2178
1.35,1.0,1.15,0.85,collapse,1.0,0.0,1.0,0.1461,0.0963
1.35,1.0,1.15,1.0,collapse,1.0,0.0,0.9911,0.1512,0.1154
1.35,1.0,1.15,1.15,collapse,1.0,0.0,1.0,0.1555,0.1321
1.35,1.0,1.15,1.3,collapse,0.9167,0.0833,0.9875,0.1452,0.149
1.35,1.15,0.85,0.85,collapse,1.0,0.0,0.6523,0.2242,0.2101
1.35,1.15,0.85,1.0,collapse,1.0,0.0,0.5878,0.2257,0.229
1.35,1.15,0.85,1.15,collapse,1.0,0.0,0.5746,0.2231,0.2629
1.35,1.15,0.85,1.3,collapse,1.0,0.0,0.5139,0.2276,0.3099
1.35,1.15,1.0,0.85,collapse,1.0,0.0,0.9697,0.1704,0.1237
1.35,1.15,1.0,1.0,collapse,1.0,0.0,0.9259,0.1807,0.1592
1.35,1.15,1.0,1.15,collapse,1.0,0.0,0.7812,0.1836,0.1885
1.35,1.15,1.0,1.3,collapse,1.0,0.0,0.7339,0.1868,0.2164
1.35,1.15,1.15,0.85,collapse,0.9167,0.0,1.0,0.1552,0.0949
1.35,1.15,1.15,1.0,collapse,0.9167,0.0,1.0,0.1537,0.1173
1.35,1.15,1.15,1.15,collapse,1.0,0.0,1.0,0.1531,0.1338
1.35,1.15,1.15,1.3,collapse,0.8333,0.0,0.9587,0.1515,0.1526
1.35,1.3,0.85,0.85,collapse,1.0,0.0,0.6967,0.219,0.1986
1.35,1.3,0.85,1.0,collapse,1.0,0.0,0.593,0.2238,0.2402
1.35,1.3,0.85,1.15,collapse,1.0,0.0,0.6236,0.2189,0.2639
1.35,1.3,0.85,1.3,collapse,1.0,0.0,0.5771,0.2136,0.2884
1.35,1.3,1.0,0.85,collapse,1.0,0.0,0.9811,0.1788,0.1333
1.35,1.3,1.0,1.0,collapse,1.0,0.0,0.9492,0.1831,0.1619
1.35,1.3,1.0,1.15,collapse,1.0,0.0,0.9019,0.179,0.187
1.35,1.3,1.0,1.3,collapse,1.0,0.0,0.9167,0.1778,0.1941
1.35,1.3,1.15,0.85,collapse,0.9167,0.0,1.0,0.1531,0.0998
1.35,1.3,1.15,1.0,collapse,1.0,0.0,1.0,0.1558,0.1212
1.35,1.3,1.15,1.15,collapse,0.8333,0.0,1.0,0.1432,0.1293
1.35,1.3,1.15,1.3,collapse,0.9167,0.0,1.0,0.1459,0.1509
1.5,0.8,0.85,0.85,collapse,1.0,0.0,0.3322,0.263,0.2336
1.5,0.8,0.85,1.0,collapse,1.0,0.0,0.2678,0.2597,0.272
1.5,0.8,0.85,1.15,collapse,1.0,0.0,0.1319,0.2597,0.3102
1.5,0.8,0.85,1.3,collapse,1.0,0.0,0.1119,0.2552,0.3563
1.5,0.8,1.0,0.85,collapse,1.0,0.0,0.7283,0.2065,0.1424
1.5,0.8,1.0,1.0,collapse,1.0,0.0,0.6938,0.1989,0.1717
1.5,0.8,1.0,1.15,collapse,1.0,0.0,0.5959,0.1992,0.204
1.5,0.8,1.0,1.3,collapse,1.0,0.0,0.4964,0.2074,0.2348
1.5,0.8,1.15,0.85,collapse,1.0,0.0,0.9971,0.168,0.1154
1.5,0.8,1.15,1.0,collapse,1.0,0.0,0.9363,0.1655,0.1271
1.5,0.8,1.15,1.15,collapse,1.0,0.0,0.9857,0.159,0.1387
1.5,0.8,1.15,1.3,collapse,1.0,0.0,0.8867,0.1695,0.1669
1.5,1.0,0.85,0.85,collapse,1.0,0.0,0.5348,0.2615,0.2265
1.5,1.0,0.85,1.0,collapse,1.0,0.0,0.4634,0.25,0.2671
1.5,1.0,0.85,1.15,collapse,1.0,0.0,0.3915,0.2556,0.3147
1.5,1.0,0.85,1.3,collapse,1.0,0.0,0.3402,0.2498,0.3411
1.5,1.0,1.0,0.85,collapse,1.0,0.0,0.8187,0.2038,0.1504
1.5,1.0,1.0,1.0,collapse,1.0,0.0,0.7881,0.203,0.1776
1.5,1.0,1.0,1.15,collapse,1.0,0.0,0.6082,0.2079,0.2116
1.5,1.0,1.0,1.3,collapse,1.0,0.0,0.581,0.2034,0.24
1.5,1.0,1.15,0.85,collapse,1.0,0.0,1.0,0.1706,0.1107
1.5,1.0,1.15,1.0,collapse,1.0,0.0,0.9529,0.1733,0.1337
1.5,1.0,1.15,1.15,collapse,1.0,0.0,0.9162,0.1763,0.1574
1.5,1.0,1.15,1.3,collapse,1.0,0.0,0.9202,0.162,0.1651
1.5,1.15,0.85,0.85,collapse,1.0,0.0,0.5592,0.2589,0.2164
1.5,1.15,0.85,1.0,collapse,1.0,0.0,0.5328,0.2516,0.2523
1.5,1.15,0.85,1.15,collapse,1.0,0.0,0.4852,0.2506,0.3034
1.5,1.15,0.85,1.3,collapse,1.0,0.0,0.3713,0.2585,0.3477
1.5,1.15,1.0,0.85,collapse,1.0,0.0,0.8708,0.2022,0.1586
1.5,1.15,1.0,1.0,collapse,1.0,0.0,0.7979,0.1987,0.1768
1.5,1.15,1.0,1.15,collapse,1.0,0.0,0.7762,0.1908,0.1924
1.5,1.15,1.0,1.3,collapse,1.0,0.0,0.6504,0.2023,0.2287
1.5,1.15,1.15,0.85,collapse,1.0,0.0,1.0,0.1692,0.1103
1.5,1.15,1.15,1.0,collapse,1.0,0.0,0.9884,0.1693,0.1345
1.5,1.15,1.15,1.15,collapse,1.0,0.0,0.9697,0.1697,0.1411
1.5,1.15,1.15,1.3,collapse,1.0,0.0,0.9697,0.1696,0.1665
1.5,1.3,0.85,0.85,collapse,1.0,0.0,0.5661,0.2597,0.2286
1.5,1.3,0.85,1.0,collapse,1.0,0.0,0.5543,0.2552,0.2751
1.5,1.3,0.85,1.15,collapse,1.0,0.0,0.5227,0.2635,0.3068
1.5,1.3,0.85,1.3,collapse,1.0,0.0,0.3999,0.2732,0.3659
1.5,1.3,1.0,0.85,collapse,1.0,0.0,0.949,0.1992,0.1512
1.5,1.3,1.0,1.0,collapse,1.0,0.0,0.7979,0.2074,0.1809
1.5,1.3,1.0,1.15,collapse,1.0,0.0,0.7049,0.2138,0.2136
1.5,1.3,1.0,1.3,collapse,1.0,0.0,0.6635,0.1986,0.232
1.5,1.3,1.15,0.85,collapse,1.0,0.0,1.0,0.159,0.1027
1.5,1.3,1.15,1.0,collapse,1.0,0.0,1.0,0.1695,0.1289
1.5,1.3,1.15,1.15,collapse,1.0,0.0,0.976,0.1714,0.1503
1.5,1.3,1.15,1.3,collapse,1.0,0.0,0.9758,0.173,0.1762
