batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,avg_async_false_stability_steps,avg_topology_wrong_monitoring_steps,avg_topology_false_stability_steps,avg_topology_hidden_collapse_steps,avg_topology_blind_no_trigger_steps,avg_max_wrong_monitoring_window,resource_exhaustion_rate,avg_resource_floor_steps,avg_max_unmet_recovery_demand,avg_max_routing_delay_loss
grand_sim_v0_7,psi_corruption,mid_stress,10,0.0,0.333333,0.676667,0.338687,0.541462,60.5,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.3,0.002136,0.0
grand_sim_v0_7,psi_stability_ablation,high_stress,10,1.0,1.0,0.03,0.156574,0.0,131.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,psi_stability_ablation,low_stress,10,0.0,0.333333,0.676667,0.379035,0.77032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.3,0.002264,0.0
grand_sim_v0_7,psi_stability_ablation,mid_stress,10,0.0,0.333333,0.676437,0.313955,0.350268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,0.001333,0.0
grand_sim_v0_7,resource_budget_shock,high_stress,10,1.0,1.0,0.03,0.140657,0.0,139.2,110.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.8,0.022868,0.0
grand_sim_v0_7,resource_budget_shock,low_stress,10,1.0,1.0,0.03,0.26497,0.0,107.6,85.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,0.02515,0.0
grand_sim_v0_7,resource_budget_shock,mid_stress,10,1.0,1.0,0.03,0.16163,0.0,119.2,87.0,20.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.6,0.023068,0.0
grand_sim_v0_7,resource_pressure_harsh,high_stress,10,1.0,1.0,0.03,0.140936,0.0,135.5,111.1,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,1.0,128.1,0.023084,0.01044
grand_sim_v0_7,resource_pressure_harsh,low_stress,10,1.0,1.0,0.03,0.265789,0.0,101.4,74.7,20.0,6.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,91.1,0.023039,0.010338
grand_sim_v0_7,resource_pressure_harsh,mid_stress,10,1.0,1.0,0.03,0.161636,0.0,117.1,87.1,20.0,8.1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0229,0.010357
grand_sim_v0_7,resource_pressure_mid,high_stress,10,1.0,1.0,0.03,0.15082,0.0,134.8,92.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.5,0.018725,0.0
grand_sim_v0_7,resource_pressure_mid,low_stress,10,1.0,1.0,0.03,0.294581,0.0,72.4,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.7,0.018968,0.0
grand_sim_v0_7,resource_pressure_mid,mid_stress,10,1.0,1.0,0.03,0.181802,0.0,99.0,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.9,0.019147,0.0
grand_sim_v0_7,resource_pressure_mild,high_stress,10,1.0,1.0,0.03,0.156932,0.0,129.4,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.016549,0.0
grand_sim_v0_7,resource_pressure_mild,low_stress,10,1.0,1.0,0.03,0.304005,0.0,71.1,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.2,0.01675,0.0
grand_sim_v0_7,resource_pressure_mild,mid_stress,10,1.0,1.0,0.03,0.192694,0.0,97.8,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,0.016908,0.0
grand_sim_v0_7,resource_routing_delay,high_stress,10,1.0,1.0,0.03,0.141989,0.0,135.5,110.2,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,1.0,127.5,0.023051,0.010418
grand_sim_v0_7,resource_routing_delay,low_stress,10,1.0,1.0,0.03,0.267519,0.0,101.1,74.9,20.0,6.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,91.7,0.023093,0.010312
grand_sim_v0_7,resource_routing_delay,mid_stress,10,1.0,1.0,0.03,0.164914,0.0,116.7,87.0,20.0,7.0,4.6,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.022907,0.010416
grand_sim_v0_7,ring_baseline,high_stress,10,1.0,1.0,0.03,0.16926,0.0,121.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,ring_baseline,low_stress,10,0.0,0.0,1.0,0.988464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,ring_baseline,mid_stress,10,0.0,0.0,1.0,0.986978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,star_unsafe_reference,high_stress,10,1.0,1.0,0.03,0.139716,0.0,150.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.2,0.004636,0.0
grand_sim_v0_7,star_unsafe_reference,low_stress,10,0.0,0.076667,0.807408,0.388291,1.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,star_unsafe_reference,mid_stress,10,1.0,1.0,0.03,0.145708,0.0,126.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,12.8,0.00055,0.0
grand_sim_v0_7,topology_drift,high_stress,10,1.0,1.0,0.03,0.149624,0.0,131.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_drift,low_stress,10,0.0,0.016667,0.986734,0.466864,1.0,79.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_drift,mid_stress,10,1.0,1.0,0.03,0.161355,0.0,80.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.5,20.5,0.001116,0.0
grand_sim_v0_7,topology_lag_centralizing,high_stress,10,1.0,1.0,0.03,0.145367,0.0,134.0,0.0,0.0,0.1,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_centralizing,low_stress,10,0.0,0.016667,0.987154,0.476707,1.0,77.7,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_centralizing,mid_stress,10,1.0,1.0,0.03,0.15616,0.0,80.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.7,29.5,0.001493,0.0
grand_sim_v0_7,topology_lag_governance_capture,high_stress,10,1.0,1.0,0.03,0.139177,0.0,130.4,0.0,71.5,37.7,2.1,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_governance_capture,low_stress,10,1.0,1.0,0.03,0.233166,0.0,80.0,0.0,97.0,80.0,0.4,65.0,0.0,5.2,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_governance_capture,mid_stress,10,1.0,1.0,0.03,0.146084,0.0,80.0,0.0,94.0,79.0,0.4,65.0,0.0,7.6,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_identity_shock,high_stress,10,1.0,1.0,0.03,0.14146,0.0,133.2,0.0,0.0,0.8,0.8,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_identity_shock,low_stress,10,1.0,0.683333,0.18615,0.280255,0.20827,80.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_identity_shock,mid_stress,10,1.0,1.0,0.03,0.147788,0.0,80.0,0.0,0.0,0.8,0.2,65.0,0.0,6.7,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_lag_resource_cascade,high_stress,10,1.0,1.0,0.03,0.118793,0.0,135.9,114.8,0.0,3.3,3.3,65.0,0.0,0.0,0.0,65.0,1.0,127.9,0.020655,0.008437
grand_sim_v0_7,topology_lag_resource_cascade,low_stress,10,1.0,1.0,0.03,0.192337,0.0,102.0,76.7,20.0,11.1,0.2,65.0,4.9,6.2,0.0,65.0,1.0,91.5,0.020614,0.008273
grand_sim_v0_7,topology_lag_resource_cascade,mid_stress,10,1.0,1.0,0.03,0.132877,0.0,117.0,89.1,19.8,7.5,5.2,65.0,0.0,0.9,0.0,65.0,1.0,105.5,0.020488,0.008292
grand_sim_v0_7,topology_misclassification_async,high_stress,10,1.0,1.0,0.03,0.142053,0.0,130.3,0.0,0.0,0.3,0.3,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_misclassification_async,low_stress,10,0.0,0.016667,0.985184,0.414184,1.0,78.8,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,topology_misclassification_async,mid_stress,10,1.0,1.0,0.03,0.157342,0.0,80.0,0.0,13.3,4.0,0.9,65.0,0.0,2.2,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,trigger_b_deadlock,high_stress,10,1.0,1.0,0.03,0.145593,0.0,137.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,0.015834,0.0
grand_sim_v0_7,trigger_b_deadlock,low_stress,10,1.0,1.0,0.03,0.273114,0.0,106.9,83.1,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.2,0.016791,0.0
grand_sim_v0_7,trigger_b_deadlock,mid_stress,10,1.0,1.0,0.03,0.173438,0.0,118.8,87.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.9,0.015914,0.0
