run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
59,100,random,500,True,True,0.959,1.0,1.0,18,19,0.735,0.333,3,1,0.2,0.796,0.73,6,6,1.0,90.0,102,0.383,0.302,0.383,100,0,,False,True,0.0,none,0,0,0
60,101,random,500,True,True,0.936,1.0,1.0,27,28,0.591,0.625,8,5,0.2,0.736,0.688,6,6,1.0,90.0,127,0.34,0.273,0.34,100,0,,False,True,0.0,none,0,0,0
61,102,random,500,True,True,0.966,1.0,1.0,16,18,0.746,0.0,2,0,0.2,0.817,0.75,6,6,1.0,90.0,84,0.421,0.337,0.421,100,0,,False,True,0.0,none,0,0,0
62,103,random,500,True,True,0.936,1.0,1.0,20,21,0.701,0.0,3,0,0.2,0.77,0.712,6,6,1.0,91.667,113,0.381,0.293,0.381,100,0,,False,True,0.0,none,0,0,0
63,104,random,500,True,True,0.938,1.0,1.0,26,27,0.603,0.167,6,1,0.2,0.776,0.724,6,6,1.0,90.0,129,0.347,0.278,0.347,100,0,,False,True,0.0,none,0,0,0
64,105,random,500,True,True,0.955,1.0,1.0,13,13,0.815,0.0,0,0,0.2,0.805,0.734,6,6,1.0,90.0,78,0.44,0.35,0.44,100,0,,False,True,0.0,none,0,0,0
65,106,random,500,True,True,0.928,1.0,1.0,13,14,0.817,0.0,3,0,0.2,0.721,0.665,6,6,1.0,90.0,83,0.412,0.324,0.412,100,0,,False,True,0.0,none,0,0,0
66,107,random,500,True,True,0.959,1.0,1.0,19,20,0.712,0.0,3,0,0.2,0.767,0.709,6,6,1.0,90.0,99,0.407,0.332,0.407,100,0,,False,True,0.0,none,0,0,0
67,108,random,500,True,True,0.934,1.0,1.0,18,19,0.731,0.0,1,0,0.2,0.701,0.639,6,6,1.0,90.0,95,0.38,0.306,0.38,100,0,,False,True,0.0,none,0,0,0
68,109,random,500,True,True,0.937,1.0,1.0,21,22,0.682,0.0,2,0,0.2,0.811,0.753,6,6,1.0,90.0,108,0.418,0.34,0.418,100,0,,False,True,0.0,none,0,0,0
