run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
78,119,federation,500,True,True,0.95,1.0,1.0,14,17,0.775,0.0,1,0,0.2,0.768,0.703,6,6,1.0,93.333,60,0.412,0.333,0.412,100,0,,False,True,0.0,none,0,0,0
79,120,federation,500,True,True,0.962,1.0,1.0,14,15,0.794,0.0,1,0,0.2,0.82,0.756,6,6,1.0,90.0,64,0.442,0.363,0.442,100,0,,False,True,0.0,none,0,0,0
80,121,federation,500,True,True,0.952,1.0,1.0,23,24,0.647,0.333,6,2,0.2,0.777,0.719,6,6,1.0,90.0,92,0.358,0.302,0.358,100,0,,False,True,0.0,none,0,0,0
81,122,federation,500,True,True,0.949,1.0,1.0,18,19,0.725,0.5,4,2,0.2,0.801,0.741,6,6,1.0,90.0,83,0.4,0.317,0.4,100,0,,False,True,0.0,none,0,0,0
82,123,federation,500,True,True,0.959,1.0,1.0,30,31,0.53,0.333,6,2,0.2,0.843,0.804,6,6,1.0,91.667,104,0.402,0.328,0.402,100,0,,False,True,0.0,none,0,0,0
83,124,federation,500,True,True,0.954,1.0,1.0,12,13,0.818,0.0,1,0,0.2,0.818,0.749,6,6,1.0,90.0,61,0.46,0.365,0.46,100,0,,False,True,0.0,none,0,0,0
84,125,federation,500,True,True,0.96,1.0,1.0,14,15,0.785,0.0,0,0,0.2,0.811,0.744,6,6,1.0,90.0,70,0.437,0.356,0.437,100,0,,False,True,0.0,none,0,0,0
85,126,federation,500,True,True,0.968,1.0,1.0,21,22,0.682,0.4,5,2,0.2,0.854,0.796,6,6,1.0,90.0,91,0.412,0.347,0.412,100,0,,False,True,0.0,none,0,0,0
86,127,federation,500,True,True,0.926,1.0,1.0,24,24,0.646,0.2,5,1,0.2,0.764,0.721,6,6,1.0,90.0,95,0.361,0.292,0.361,100,0,,False,True,0.0,none,0,0,0
87,128,federation,500,True,True,0.949,1.0,1.0,19,20,0.708,0.5,6,3,0.2,0.8,0.747,6,6,1.0,91.667,97,0.411,0.33,0.411,100,0,,False,True,0.0,none,0,0,0
88,129,federation,500,True,True,0.962,1.0,1.0,18,19,0.731,0.0,2,0,0.2,0.845,0.798,6,6,1.0,90.0,64,0.458,0.377,0.458,100,0,,False,True,0.0,none,0,0,0
89,130,federation,500,True,True,0.954,1.0,1.0,23,23,0.676,0.0,3,0,0.2,0.84,0.79,6,6,1.0,90.0,109,0.417,0.337,0.417,100,0,,False,True,0.0,none,0,0,0
90,131,federation,500,True,True,0.964,1.0,1.0,22,23,0.632,0.0,4,0,0.2,0.859,0.804,6,6,1.0,90.0,86,0.439,0.357,0.439,100,0,,False,True,0.0,none,0,0,0
91,132,federation,500,True,True,0.957,1.0,1.0,20,21,0.706,0.125,8,1,0.2,0.798,0.734,6,6,1.0,90.0,85,0.398,0.32,0.398,100,0,,False,True,0.0,none,0,0,0
92,133,federation,500,True,True,0.94,1.0,1.0,24,25,0.642,0.167,6,1,0.2,0.802,0.754,6,6,1.0,90.0,111,0.38,0.311,0.38,100,0,,False,True,0.0,none,0,0,0
93,134,federation,500,True,True,0.963,1.0,1.0,23,24,0.652,0.25,4,1,0.2,0.826,0.775,6,6,1.0,90.0,80,0.408,0.318,0.408,100,0,,False,True,0.0,none,0,0,0
94,135,federation,500,True,True,0.935,1.0,1.0,22,23,0.667,0.375,8,3,0.2,0.778,0.729,6,6,1.0,90.0,86,0.386,0.311,0.386,100,0,,False,True,0.0,none,0,0,0
95,136,federation,500,True,True,0.955,1.0,1.0,19,20,0.725,0.0,1,0,0.2,0.811,0.75,6,6,1.0,90.0,92,0.421,0.345,0.421,100,0,,False,True,0.0,none,0,0,0
96,137,federation,500,True,True,0.962,1.0,1.0,17,17,0.754,0.0,2,0,0.2,0.832,0.763,6,6,1.0,90.0,77,0.433,0.345,0.433,100,0,,False,True,0.0,none,0,0,0
97,138,federation,500,True,True,0.957,1.0,1.0,12,14,0.812,0.333,3,1,0.2,0.828,0.759,6,6,1.0,90.0,53,0.459,0.37,0.459,100,0,,False,True,0.0,none,0,0,0
98,139,federation,500,True,True,0.945,1.0,1.0,33,34,0.456,0.25,8,2,0.2,0.848,0.812,6,6,1.0,90.0,117,0.381,0.316,0.381,100,0,,False,True,0.0,none,0,0,0
99,140,federation,500,True,True,0.908,1.0,1.0,20,20,0.712,0.2,5,1,0.2,0.726,0.674,6,6,1.0,90.0,94,0.381,0.31,0.381,100,0,,False,True,0.0,none,0,0,0
100,141,federation,500,True,True,0.956,1.0,1.0,17,18,0.738,0.0,1,0,0.2,0.806,0.75,6,6,1.0,90.0,78,0.426,0.343,0.426,100,0,,False,True,0.0,none,0,0,0
