run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
73,114,federation,500,True,True,0.698,1.0,1.0,0,1,1.0,0.455,11,5,0.05,0.346,0.255,6,0.346,0.255,0.346,100,0,,False,True,0.0,none,0,0,0
74,115,federation,500,True,True,0.831,1.0,1.0,0,1,1.0,0.333,6,2,0.05,0.468,0.339,6,0.468,0.339,0.468,100,0,,False,True,0.0,none,0,0,0
75,116,federation,500,True,True,0.685,1.0,1.0,0,1,1.0,0.667,15,10,0.05,0.42,0.33,6,0.414,0.326,0.414,100,0,,False,True,0.0,none,0,0,0
76,117,federation,500,True,True,0.777,1.0,1.0,0,2,0.985,0.9,10,9,0.05,0.563,0.469,6,0.563,0.469,0.563,100,0,,False,True,0.0,none,0,0,0
77,118,federation,500,True,True,0.786,1.0,1.0,0,1,1.0,0.75,8,6,0.05,0.492,0.376,6,0.492,0.376,0.492,100,0,,False,True,0.0,none,0,0,0
78,119,federation,500,True,True,0.782,1.0,1.0,0,3,0.971,0.692,13,9,0.05,0.642,0.556,6,0.642,0.54,0.642,100,0,,False,True,0.0,none,0,0,0
79,120,federation,500,True,True,0.813,1.0,1.0,0,1,1.0,0.6,10,6,0.05,0.587,0.487,6,0.587,0.487,0.587,100,0,,False,True,0.0,none,0,0,0
80,121,federation,500,True,True,0.686,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.375,0.282,6,0.375,0.282,0.375,100,0,,False,True,0.0,none,0,0,0
81,122,federation,500,True,True,0.69,1.0,1.0,0,1,1.0,0.846,13,11,0.05,0.424,0.333,6,0.424,0.333,0.424,100,0,,False,True,0.0,none,0,0,0
82,123,federation,500,True,True,0.726,1.0,1.0,0,1,1.0,0.8,15,12,0.05,0.506,0.409,6,0.506,0.409,0.506,100,0,,False,True,0.0,none,0,0,0
83,124,federation,500,True,True,0.828,1.0,1.0,0,1,1.0,0.333,6,2,0.05,0.475,0.351,6,0.475,0.351,0.475,100,0,,False,True,0.0,none,0,0,0
84,125,federation,500,True,True,0.844,1.0,1.0,0,1,1.0,0.6,5,3,0.05,0.516,0.394,6,0.516,0.394,0.516,100,0,,False,True,0.0,none,0,0,0
