run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
14,55,random,500,True,True,0.839,1.0,1.0,0,2,0.985,0.667,9,6,0.05,0.554,0.446,6,0.553,0.442,0.553,100,0,,False,True,0.0,none,0,0,0
15,56,random,500,True,True,0.828,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.54,0.43,6,0.54,0.43,0.54,100,0,,False,True,0.0,none,0,0,0
16,57,random,500,True,True,0.821,1.0,1.0,0,1,1.0,0.5,6,3,0.05,0.499,0.369,6,0.499,0.369,0.499,100,0,,False,True,0.0,none,0,0,0
17,58,random,500,True,True,0.827,1.0,1.0,0,1,1.0,0.5,6,3,0.05,0.498,0.38,6,0.498,0.38,0.498,100,0,,False,True,0.0,none,0,0,0
18,59,random,500,True,True,0.832,1.0,1.0,0,1,1.0,0.833,6,5,0.05,0.536,0.409,6,0.536,0.409,0.536,100,0,,False,True,0.0,none,0,0,0
19,60,random,500,True,True,0.747,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.469,0.365,6,0.469,0.365,0.469,100,0,,False,True,0.0,none,0,0,0
20,61,random,500,True,True,0.764,1.0,1.0,0,1,1.0,0.7,10,7,0.05,0.443,0.33,6,0.443,0.33,0.443,100,0,,False,True,0.0,none,0,0,0
21,62,random,500,True,True,0.727,1.0,1.0,0,2,0.985,0.444,9,4,0.05,0.321,0.214,6,0.321,0.214,0.321,100,0,,False,True,0.0,none,0,0,0
22,63,random,500,True,True,0.775,1.0,1.0,0,2,0.986,0.6,10,6,0.05,0.399,0.287,6,0.399,0.287,0.399,100,0,,False,True,0.0,none,0,0,0
23,64,random,500,True,True,0.782,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.435,0.321,6,0.435,0.321,0.435,100,0,,False,True,0.0,none,0,0,0
24,65,random,500,True,True,0.796,1.0,1.0,0,1,1.0,0.8,10,8,0.05,0.505,0.396,6,0.505,0.396,0.505,100,0,,False,True,0.0,none,0,0,0
25,66,random,500,True,True,0.819,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.517,0.405,6,0.517,0.404,0.517,100,0,,False,True,0.0,none,0,0,0
26,67,random,500,True,True,0.823,1.0,1.0,0,1,1.0,0.5,4,2,0.05,0.468,0.351,6,0.468,0.351,0.468,100,0,,False,True,0.0,none,0,0,0
27,68,random,500,True,True,0.819,1.0,1.0,0,1,1.0,0.5,4,2,0.05,0.473,0.349,6,0.473,0.349,0.473,100,0,,False,True,0.0,none,0,0,0
28,69,random,500,True,True,0.676,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.342,0.247,6,0.342,0.247,0.342,100,0,,False,True,0.0,none,0,0,0
29,70,random,500,True,True,0.818,1.0,1.0,0,2,0.985,0.833,6,5,0.05,0.526,0.416,6,0.525,0.416,0.525,100,0,,False,True,0.0,none,0,0,0
30,71,random,500,True,True,0.847,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.554,0.427,6,0.554,0.427,0.554,100,0,,False,True,0.0,none,0,0,0
31,72,random,500,True,True,0.812,1.0,1.0,0,1,1.0,0.375,8,3,0.05,0.544,0.428,6,0.544,0.428,0.544,100,0,,False,True,0.0,none,0,0,0
32,73,random,500,True,True,0.756,1.0,1.0,0,1,1.0,0.5,12,6,0.05,0.49,0.385,6,0.49,0.385,0.49,100,0,,False,True,0.0,none,0,0,0
33,74,random,500,True,True,0.792,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.487,0.384,6,0.487,0.384,0.487,100,0,,False,True,0.0,none,0,0,0
34,75,random,500,True,True,0.779,1.0,1.0,1,2,0.984,0.667,9,6,0.05,0.431,0.324,6,0.431,0.324,0.431,100,0,,False,True,0.0,none,0,0,0
35,76,random,500,True,True,0.846,1.0,1.0,0,1,1.0,0.75,4,3,0.05,0.494,0.361,6,0.494,0.361,0.494,100,0,,False,True,0.0,none,0,0,0
36,77,random,500,True,True,0.712,1.0,1.0,0,1,1.0,0.4,10,4,0.05,0.387,0.295,6,0.387,0.295,0.387,100,0,,False,True,0.0,none,0,0,0
37,78,random,500,True,True,0.883,1.0,1.0,0,1,1.0,0.667,6,4,0.05,0.687,0.567,6,0.679,0.559,0.679,100,0,,False,True,0.0,none,0,0,0
38,79,random,500,True,True,0.683,1.0,1.0,0,1,1.0,0.625,16,10,0.05,0.356,0.267,6,0.356,0.267,0.356,100,0,,False,True,0.0,none,0,0,0
39,80,random,500,True,True,0.813,1.0,1.0,0,1,1.0,0.6,10,6,0.05,0.522,0.413,6,0.522,0.413,0.522,100,0,,False,True,0.0,none,0,0,0
40,81,random,500,True,True,0.749,1.0,1.0,0,1,1.0,0.818,11,9,0.05,0.423,0.313,6,0.423,0.313,0.423,100,0,,False,True,0.0,none,0,0,0
41,82,random,500,True,True,0.815,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.509,0.382,6,0.509,0.382,0.509,100,0,,False,True,0.0,none,0,0,0
42,83,random,500,True,True,0.71,1.0,1.0,0,1,1.0,0.8,15,12,0.05,0.442,0.343,6,0.442,0.343,0.442,100,0,,False,True,0.0,none,0,0,0
43,84,random,500,True,True,0.857,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.459,0.332,6,0.459,0.332,0.459,100,0,,False,True,0.0,none,0,0,0
44,85,random,500,True,True,0.753,1.0,1.0,0,1,1.0,0.75,8,6,0.05,0.364,0.257,6,0.364,0.257,0.364,100,0,,False,True,0.0,none,0,0,0
45,86,random,500,True,True,0.767,1.0,1.0,0,1,1.0,0.556,9,5,0.05,0.469,0.355,6,0.469,0.355,0.469,100,0,,False,True,0.0,none,0,0,0
46,87,random,500,True,True,0.798,1.0,1.0,0,1,1.0,0.667,6,4,0.05,0.471,0.355,6,0.471,0.355,0.471,100,0,,False,True,0.0,none,0,0,0
47,88,random,500,True,True,0.778,1.0,1.0,0,2,0.986,0.3,10,3,0.05,0.423,0.316,6,0.423,0.316,0.423,100,0,,False,True,0.0,none,0,0,0
48,89,random,500,True,True,0.746,1.0,1.0,0,1,1.0,0.636,11,7,0.05,0.4,0.294,6,0.4,0.294,0.4,100,0,,False,True,0.0,none,0,0,0
49,90,random,500,True,True,0.746,1.0,1.0,0,2,0.985,0.545,11,6,0.05,0.441,0.335,6,0.441,0.335,0.441,100,0,,False,True,0.0,none,0,0,0
50,91,random,500,True,True,0.743,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.454,0.358,6,0.454,0.358,0.454,100,0,,False,True,0.0,none,0,0,0
51,92,random,500,True,True,0.783,1.0,1.0,0,1,1.0,0.444,9,4,0.05,0.515,0.414,6,0.515,0.414,0.515,100,0,,False,True,0.0,none,0,0,0
52,93,random,500,True,True,0.738,1.0,1.0,0,1,1.0,0.667,15,10,0.05,0.428,0.332,6,0.428,0.332,0.428,100,0,,False,True,0.0,none,0,0,0
53,94,random,500,True,True,0.848,1.0,1.0,0,1,1.0,0.2,5,1,0.05,0.527,0.402,6,0.527,0.402,0.527,100,0,,False,True,0.0,none,0,0,0
54,95,random,500,True,True,0.785,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.442,0.322,6,0.442,0.322,0.442,100,0,,False,True,0.0,none,0,0,0
55,96,random,500,True,True,0.694,1.0,1.0,0,3,0.971,0.5,14,7,0.05,0.38,0.288,6,0.38,0.288,0.38,100,0,,False,True,0.0,none,0,0,0
56,97,random,500,True,True,0.667,1.0,1.0,0,1,1.0,0.706,17,12,0.05,0.31,0.224,6,0.31,0.224,0.31,100,0,,False,True,0.0,none,0,0,0
57,98,random,500,True,True,0.783,1.0,1.0,0,2,0.985,0.778,9,7,0.05,0.448,0.342,6,0.448,0.342,0.448,100,0,,False,True,0.0,none,0,0,0
58,99,random,500,True,True,0.749,1.0,1.0,0,1,1.0,0.444,9,4,0.05,0.351,0.252,6,0.351,0.252,0.351,100,0,,False,True,0.0,none,0,0,0
59,100,random,500,True,True,0.824,1.0,1.0,0,1,1.0,0.625,8,5,0.05,0.496,0.38,6,0.495,0.38,0.495,100,0,,False,True,0.0,none,0,0,0
60,101,random,500,True,True,0.686,1.0,1.0,0,1,1.0,0.867,15,13,0.05,0.308,0.216,6,0.308,0.216,0.308,100,0,,False,True,0.0,none,0,0,0
61,102,random,500,True,True,0.802,1.0,1.0,0,2,0.985,0.5,6,3,0.05,0.441,0.324,6,0.441,0.324,0.441,100,0,,False,True,0.0,none,0,0,0
62,103,random,500,True,True,0.773,1.0,1.0,0,1,1.0,0.5,10,5,0.05,0.463,0.352,6,0.463,0.352,0.463,100,0,,False,True,0.0,none,0,0,0
