run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
68,109,federation,500,True,True,0.955,1.0,1.0,15,7,0.913,0.0,2,0,0.2,0.791,0.71,6,6,1.0,0.48,90.0,75,0.433,0.346,0.433,100,0,,,0,False,True,0.0,none,0,0,0
69,110,federation,500,True,True,0.937,1.0,1.0,26,9,0.853,0.571,7,4,0.2,0.759,0.688,6,6,1.0,0.368,90.0,116,0.367,0.305,0.367,100,0,,,0,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.967,1.0,1.0,17,7,0.913,0.0,1,0,0.2,0.87,0.8,6,6,1.0,0.481,90.0,79,0.45,0.355,0.45,100,0,,340,62,False,True,0.0,none,0,0,0
71,112,federation,500,True,True,0.953,1.0,1.0,25,10,0.845,0.333,3,1,0.2,0.865,0.81,6,6,1.0,0.398,90.0,93,0.439,0.363,0.439,100,0,,330,58,False,True,0.0,none,0,0,0
72,113,federation,500,True,True,0.921,1.0,1.0,25,9,0.882,0.5,8,4,0.2,0.784,0.724,6,6,1.0,0.333,90.0,96,0.37,0.295,0.37,100,0,,,0,False,True,0.0,none,0,0,0
73,114,federation,500,True,True,0.961,1.0,1.0,22,7,0.91,0.75,4,3,0.2,0.797,0.723,6,6,1.0,0.465,90.0,86,0.383,0.302,0.383,100,0,,,0,False,True,0.0,none,0,0,0
74,115,federation,500,True,True,0.953,1.0,1.0,16,7,0.909,0.0,1,0,0.2,0.784,0.708,6,6,1.0,0.4,90.0,83,0.421,0.344,0.421,100,0,,,0,False,True,0.0,none,0,0,0
75,116,federation,500,True,True,0.926,1.0,1.0,34,9,0.853,0.5,10,5,0.2,0.753,0.683,6,6,1.0,0.379,90.0,132,0.303,0.239,0.303,100,0,,,0,False,True,0.0,none,0,0,0
76,117,federation,500,True,True,0.969,1.0,1.0,19,8,0.897,0.0,1,0,0.2,0.888,0.822,6,6,1.0,0.47,90.0,83,0.459,0.369,0.459,100,0,,330,60,False,True,0.0,none,0,0,0
77,118,federation,500,True,True,0.964,1.0,1.0,24,9,0.884,0.667,6,4,0.2,0.852,0.779,6,6,1.0,0.366,90.0,93,0.406,0.338,0.406,100,0,,360,61,False,True,0.0,none,0,0,0
78,119,federation,500,True,True,0.967,1.0,1.0,14,9,0.879,0.0,1,0,0.2,0.79,0.716,6,6,1.0,0.421,93.333,60,0.412,0.333,0.412,100,0,,,0,False,True,0.0,none,0,0,0
79,120,federation,500,True,True,0.958,1.0,1.0,14,8,0.9,0.0,1,0,0.2,0.822,0.748,6,6,1.0,0.422,90.0,64,0.442,0.363,0.442,100,0,,390,63,False,True,0.0,none,0,0,0
80,121,federation,500,True,True,0.95,1.0,1.0,23,7,0.91,0.333,6,2,0.2,0.769,0.699,6,6,1.0,0.522,90.0,92,0.358,0.302,0.358,100,0,,,0,False,True,0.0,none,0,0,0
81,122,federation,500,True,True,0.959,1.0,1.0,19,8,0.896,0.75,4,3,0.2,0.813,0.74,6,6,1.0,0.439,90.0,83,0.4,0.317,0.4,100,0,,390,60,False,True,0.0,none,0,0,0
82,123,federation,500,True,True,0.964,1.0,1.0,29,9,0.87,0.2,5,1,0.2,0.855,0.799,6,6,1.0,0.392,91.667,102,0.402,0.328,0.402,100,0,,350,57,False,True,0.0,none,0,0,0
