run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
52,93,scale-free,500,True,True,0.916,1.0,1.0,39,12,0.746,0.444,18,8,0.1,0.74,0.657,6,6,1.0,0.385,90.0,104,0.287,0.21,0.287,100,0,,,0,False,True,0.0,none,0,0,0
53,94,scale-free,500,True,True,0.96,1.0,1.0,29,7,0.906,0.286,7,2,0.1,0.753,0.638,6,6,1.0,0.461,90.0,96,0.334,0.249,0.334,100,0,,,0,False,True,0.0,none,0,0,0
54,95,scale-free,500,True,True,0.938,1.0,1.0,37,12,0.75,0.167,6,1,0.1,0.734,0.635,6,6,1.0,0.378,91.667,98,0.299,0.194,0.299,100,0,,,0,False,True,0.0,none,0,0,0
55,96,scale-free,500,True,True,0.9,1.0,1.0,38,14,0.758,0.643,14,9,0.1,0.729,0.634,6,6,1.0,0.366,90.0,102,0.292,0.218,0.292,100,0,,,0,False,True,0.0,none,0,0,0
56,97,scale-free,500,True,True,0.609,1.0,1.0,47,47,0.261,0.593,27,16,0.1,0.498,0.503,6,6,1.0,0.009,90.0,116,0.232,0.174,0.232,100,0,,,0,False,True,0.0,none,0,0,0
57,98,scale-free,500,True,True,0.911,1.0,1.0,48,14,0.75,0.632,19,12,0.1,0.746,0.662,6,6,1.0,0.348,91.667,112,0.242,0.167,0.242,100,0,,,0,False,True,0.0,none,0,0,0
58,99,scale-free,500,True,True,0.872,1.0,1.0,46,29,0.25,0.5,16,8,0.1,0.66,0.596,6,6,1.0,0.216,90.0,99,0.238,0.154,0.238,100,0,,,0,False,True,0.0,none,0,0,0
59,100,scale-free,500,True,True,0.937,1.0,1.0,34,9,0.873,0.714,7,5,0.1,0.709,0.614,6,6,1.0,0.385,91.667,95,0.311,0.236,0.311,100,0,,,0,False,True,0.0,none,0,0,0
60,101,scale-free,500,True,True,0.939,1.0,1.0,37,12,0.836,0.667,12,8,0.1,0.767,0.669,6,6,1.0,0.364,90.0,99,0.29,0.217,0.29,100,0,,,0,False,True,0.0,none,0,0,0
61,102,scale-free,500,True,True,0.945,1.0,1.0,33,12,0.776,0.429,7,3,0.1,0.753,0.655,6,6,1.0,0.318,90.0,95,0.304,0.207,0.304,100,0,,,0,False,True,0.0,none,0,0,0
62,103,scale-free,500,True,True,0.938,1.0,1.0,32,9,0.879,0.4,5,2,0.1,0.756,0.66,6,6,1.0,0.422,90.0,90,0.343,0.246,0.343,100,0,,,0,False,True,0.0,none,0,0,0
63,104,scale-free,500,True,True,0.924,1.0,1.0,45,15,0.667,0.3,10,3,0.1,0.751,0.654,6,6,1.0,0.377,90.0,116,0.27,0.181,0.27,100,0,,,0,False,True,0.0,none,0,0,0
