run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
83,124,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.887,62,55,0.0,0.0,0.005,6,6,1.0,0.0,90.0,195,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
84,125,random,500,False,False,0.059,1.0,1.0,65,65,0.03,0.823,62,51,0.0,0.0,0.005,6,6,1.0,0.0,90.0,190,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
85,126,random,500,False,False,0.06,1.0,1.0,65,65,0.015,0.902,61,55,0.0,0.0,0.003,6,6,1.0,0.0,90.0,191,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
86,127,random,500,False,False,0.058,1.0,1.0,66,66,0.03,0.806,62,50,0.0,0.0,0.002,6,6,1.0,0.0,90.0,206,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
87,128,random,500,False,False,0.062,1.0,1.0,64,63,0.016,0.883,60,53,0.0,0.0,0.004,6,6,1.0,0.0,90.0,195,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
88,129,random,500,False,False,0.057,1.0,1.0,68,68,0.015,0.857,63,54,0.0,0.0,0.002,6,6,1.0,0.0,90.0,190,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
89,130,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.869,61,53,0.0,0.0,0.001,6,6,1.0,0.0,90.0,224,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
90,131,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.885,61,54,0.0,0.0,0.005,6,6,1.0,0.0,90.0,203,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
91,132,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.902,61,55,0.0,0.0,0.006,6,6,1.0,0.0,90.0,192,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
92,133,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.825,63,52,0.0,0.0,0.003,6,6,1.0,0.0,90.0,195,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
93,134,random,500,False,False,0.058,1.0,1.0,67,67,0.015,0.855,62,53,0.0,0.0,0.004,6,6,1.0,0.0,90.0,167,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
94,135,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.852,61,52,0.0,0.0,0.01,6,6,1.0,0.0,90.0,179,0.0,0.01,0.0,100,0,,,0,False,True,0.0,none,0,0,0
95,136,random,500,False,False,0.059,1.0,1.0,65,66,0.03,0.852,61,52,0.0,0.01,0.017,6,6,1.0,0.0,90.0,219,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
96,137,random,500,False,False,0.059,1.0,1.0,65,66,0.015,0.883,60,53,0.0,0.0,0.007,6,6,1.0,0.0,90.0,183,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
97,138,random,500,False,False,0.072,1.0,1.0,65,64,0.016,0.85,60,51,0.0,0.001,0.005,6,6,1.0,0.0,90.0,195,0.001,0.005,0.001,100,0,,,0,False,True,0.0,none,0,0,0
98,139,random,500,False,False,0.061,1.0,1.0,66,64,0.016,0.823,62,51,0.0,0.0,0.002,6,6,1.0,0.0,90.0,190,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
99,140,random,500,False,False,0.063,1.0,1.0,64,62,0.016,0.885,61,54,0.0,0.0,0.001,6,6,1.0,0.0,90.0,185,0.0,0.0,0.0,100,0,,,0,False,True,0.0,none,0,0,0
100,141,random,500,False,False,0.067,1.0,1.0,63,65,0.015,0.862,58,50,0.0,0.0,0.003,6,6,1.0,0.0,90.0,200,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
