run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
38,79,scale-free,500,True,True,0.959,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.091,1.0,95.0,26,0.678,0.755,0.678,100,0,,180,62,False,True,0.0,none,0,0,0
39,80,scale-free,500,True,True,0.967,1.0,1.0,9,7,0.91,0.6,5,3,0.05,0.908,1.0,0.91,6,6,1.0,0.343,1.0,98.333,35,0.672,0.734,0.672,100,0,,200,57,False,True,0.0,none,0,0,0
40,81,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,93.333,18,0.703,0.739,0.703,100,0,,150,61,False,True,0.0,none,0,0,0
41,82,scale-free,500,True,True,0.968,1.0,1.0,7,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.048,1.0,93.333,21,0.664,0.756,0.664,100,0,,200,61,False,True,0.0,none,0,0,0
42,83,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,95.0,18,0.697,0.744,0.697,100,0,,170,61,False,True,0.0,none,0,0,0
43,84,scale-free,500,True,True,0.959,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.907,1.0,0.908,6,6,1.0,0.0,1.0,95.0,18,0.701,0.744,0.701,100,0,,160,59,False,True,0.0,none,0,0,0
44,85,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.907,0.984,0.91,6,6,1.0,0.0,1.0,93.333,20,0.705,0.757,0.705,100,0,,150,60,False,True,0.0,none,0,0,0
45,86,scale-free,500,True,True,0.969,1.0,1.0,7,8,0.896,0.0,1,0,0.05,0.91,1.0,0.908,6,6,1.0,0.13,1.0,95.0,27,0.664,0.75,0.664,100,0,,200,58,False,True,0.0,none,0,0,0
46,87,scale-free,500,True,True,0.968,1.0,1.0,7,8,0.892,0.0,1,0,0.05,0.908,1.0,0.905,6,6,1.0,0.059,1.0,93.333,26,0.698,0.746,0.698,100,0,,190,60,False,True,0.0,none,0,0,0
47,88,scale-free,500,True,True,0.958,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,91.667,21,0.66,0.729,0.66,100,0,,190,61,False,True,0.0,none,0,0,0
48,89,scale-free,500,True,True,0.951,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.136,1.0,96.667,22,0.698,0.735,0.698,100,0,,160,62,False,True,0.0,none,0,0,0
49,90,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.042,1.0,95.0,24,0.714,0.754,0.714,100,0,,180,60,False,True,0.0,none,0,0,0
50,91,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,18,0.688,0.753,0.688,100,0,,170,61,False,True,0.0,none,0,0,0
