run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
45,86,random,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,17,0.75,0.75,0.754,100,,150,50,66,True,False,0.0,none,0,0,0
46,87,random,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.1,0.906,1.0,0.906,6,6,1.0,0.0,1.0,100.0,18,0.746,0.746,0.753,100,,160,60,66,True,False,0.0,none,0,0,0
47,88,random,500,True,True,0.969,1.0,1.0,6,8,0.896,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,0.984,100.0,17,0.719,0.729,0.719,100,,200,100,65,True,False,0.0,none,0,0,0
48,89,random,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.735,0.735,0.748,100,,160,60,67,True,False,0.0,none,0,0,0
49,90,random,500,True,True,0.968,1.0,1.0,6,8,0.892,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,0.983,100.0,18,0.741,0.754,0.741,100,,170,70,65,True,False,0.0,none,0,0,0
50,91,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,98.333,18,0.753,0.753,0.754,100,,160,60,66,True,False,0.0,none,0,0,0
51,92,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,17,0.745,0.766,0.745,100,,170,70,68,True,False,0.0,none,0,0,0
52,93,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.75,0.768,0.75,100,,160,60,66,True,False,0.0,none,0,0,0
53,94,random,500,True,True,0.971,1.0,1.0,6,7,0.917,0.0,0,0,0.1,0.916,1.0,0.917,6,6,1.0,0.0,1.0,100.0,18,0.75,0.755,0.75,100,,150,50,66,True,False,0.0,none,0,0,0
54,95,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.727,0.765,0.727,100,,170,70,66,True,False,0.0,none,0,0,0
55,96,random,500,True,True,0.97,1.0,1.0,6,9,0.887,0.0,0,0,0.1,0.915,1.0,0.915,6,6,1.0,0.0,0.969,100.0,17,0.72,0.729,0.72,100,,190,90,67,True,False,0.0,none,0,0,0
56,97,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.734,0.745,0.734,100,,180,80,65,True,False,0.0,none,0,0,0
57,98,random,500,True,True,0.969,1.0,1.0,6,8,0.896,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,0.984,100.0,17,0.743,0.744,0.743,100,,160,60,66,True,False,0.0,none,0,0,0
58,99,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.739,0.739,0.751,100,,150,50,65,True,False,0.0,none,0,0,0
59,100,random,500,True,True,0.951,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,18,0.74,0.74,0.742,100,,170,70,65,True,False,0.0,none,0,0,0
60,101,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.742,0.746,0.742,100,,170,70,67,True,False,0.0,none,0,0,0
61,102,random,500,True,True,0.967,1.0,1.0,6,8,0.891,0.0,0,0,0.1,0.906,1.0,0.906,6,6,1.0,0.0,0.983,100.0,18,0.745,0.759,0.745,100,,170,70,63,True,False,0.0,none,0,0,0
62,103,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.743,0.753,0.743,100,,160,60,66,True,False,0.0,none,0,0,0
63,104,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.726,0.726,0.754,100,,160,60,65,True,False,0.0,none,0,0,0
64,105,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.908,0.984,0.912,6,6,1.0,0.0,1.0,100.0,18,0.751,0.774,0.751,100,,160,60,66,True,False,0.0,none,0,0,0
65,106,random,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,1,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,17,0.749,0.749,0.757,100,,150,50,67,True,False,0.0,none,0,0,0
66,107,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.734,0.734,0.771,100,,140,40,66,True,False,0.0,none,0,0,0
