batch_id,run_index,seed,recheck_interval,detection_delay,misclassification_rate,first_centralizing_step,detected_centralizing_step,centralizing_latency_steps,first_star_adjacent_step,detected_star_adjacent_step,star_adjacent_latency_steps,wrong_monitoring_steps,star_adjacent_undetected_steps
grand_sim_v0_3,2,107392,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,3,107393,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,4,107394,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,5,107395,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107396,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,7,107397,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,8,107398,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,9,107399,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,0,107400,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,1,107401,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,2,107402,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,3,107403,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,4,107404,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,5,107405,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107406,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,7,107407,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,8,107408,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,9,107409,1,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,0,107410,1,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,1,107411,1,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,2,107412,1,20,0.25,55,76,21,80,101,21,42,21
grand_sim_v0_3,3,107413,1,20,0.25,55,76,21,80,100,20,41,20
grand_sim_v0_3,4,107414,1,20,0.25,55,76,21,80,101,21,42,21
grand_sim_v0_3,5,107415,1,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107416,1,20,0.25,55,76,21,80,100,20,41,20
grand_sim_v0_3,7,107417,1,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,8,107418,1,20,0.25,55,76,21,80,100,20,41,20
grand_sim_v0_3,9,107419,1,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,0,107420,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,1,107421,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,2,107422,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,3,107423,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,4,107424,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,5,107425,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,6,107426,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,7,107427,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,8,107428,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,9,107429,5,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,0,107430,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,1,107431,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,2,107432,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,3,107433,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,4,107434,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,5,107435,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,6,107436,5,0,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,7,107437,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,8,107438,5,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,9,107439,5,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,0,107440,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,1,107441,5,0,0.25,55,65,10,80,80,0,10,0
grand_sim_v0_3,2,107442,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,3,107443,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,4,107444,5,0,0.25,55,55,0,80,85,5,5,5
grand_sim_v0_3,5,107445,5,0,0.25,55,55,0,80,85,5,5,5
grand_sim_v0_3,6,107446,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,7,107447,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,8,107448,5,0,0.25,55,55,0,80,85,5,5,5
grand_sim_v0_3,9,107449,5,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,0,107450,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,1,107451,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,2,107452,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,3,107453,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,4,107454,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,5,107455,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,6,107456,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,7,107457,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,8,107458,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,9,107459,5,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,0,107460,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,1,107461,5,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,2,107462,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,3,107463,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,4,107464,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,5,107465,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,6,107466,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,7,107467,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,8,107468,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,9,107469,5,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,0,107470,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,1,107471,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,2,107472,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,3,107473,5,5,0.25,55,60,5,80,100,20,25,20
grand_sim_v0_3,4,107474,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,5,107475,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,6,107476,5,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,7,107477,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,8,107478,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,9,107479,5,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,0,107480,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,1,107481,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,2,107482,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,3,107483,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,4,107484,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,5,107485,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,6,107486,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,7,107487,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,8,107488,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,9,107489,5,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,0,107490,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,1,107491,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,2,107492,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,3,107493,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,4,107494,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,5,107495,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,6,107496,5,10,0.1,55,65,10,80,90,10,20,10
