batch_id,weight_profile,psi_lambda,psi_lambda_locked,psi_threshold,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,avg_lag_steps,accepted_candidate,recommended_locked_candidate
grand_sim_v0_3,disturbance_heavy,0.05,0,0.44,80,40,0.75,0.475,0.25,0.0,0.789474,8.772727,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.46,80,40,0.75,0.3125,0.25,0.0,0.6,8.571429,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.48,80,40,0.75,0.15,0.25,0.0,0.833333,10.083333,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.5,80,40,0.75,0.0875,0.25,0.0,0.0,13.90566,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.52,80,40,0.55,0.025,0.45,0.0,0.0,6.357143,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.54,80,40,0.5,0.0,0.5,0.0,0.0,2.575,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.56,80,40,0.5,0.0,0.5,0.0,0.0,3.8,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.58,80,40,0.5,0.0,0.5,0.0,0.0,5.325,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.6,80,40,0.5,0.0,0.5,0.0,0.0,7.3,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,9.25,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,11.3,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,14.25,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.3,80,40,1.0,1.0,0.0,0.0,8.7625,0.0,1,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.32,80,40,1.0,1.0,0.0,0.0,7.0,0.0,1,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.34,80,40,1.0,1.0,0.0,0.0,5.025,0.0,1,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.36,80,40,1.0,1.0,0.0,0.0,4.25,0.0,1,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.38,80,40,1.0,1.0,0.0,0.0,3.425,0.0,1,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.4,80,40,1.0,0.725,0.0,0.0,1.241379,2.954545,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.42,80,40,0.875,0.5,0.125,0.0,1.35,9.8,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.44,80,40,0.75,0.475,0.25,0.0,0.789474,8.772727,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.46,80,40,0.75,0.3375,0.25,0.0,0.592593,9.030303,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.48,80,40,0.75,0.15,0.25,0.0,0.833333,10.083333,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.5,80,40,0.75,0.1,0.25,0.0,0.0,14.153846,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.52,80,40,0.55,0.025,0.45,0.0,0.0,6.309524,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.54,80,40,0.5,0.0,0.5,0.0,0.0,2.45,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.56,80,40,0.5,0.0,0.5,0.0,0.0,3.675,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.58,80,40,0.5,0.0,0.5,0.0,0.0,5.175,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.6,80,40,0.5,0.0,0.5,0.0,0.0,7.225,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.62,80,40,0.5,0.0,0.5,0.0,0.0,9.2,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.64,80,40,0.5,0.0,0.5,0.0,0.0,11.3,0,0
grand_sim_v0_3,disturbance_heavy,0.1,1,0.66,80,40,0.5,0.0,0.5,0.0,0.0,14.25,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.3,80,40,1.0,1.0,0.0,0.0,8.8125,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.32,80,40,1.0,1.0,0.0,0.0,7.125,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.34,80,40,1.0,1.0,0.0,0.0,5.125,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.36,80,40,1.0,1.0,0.0,0.0,4.3125,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.38,80,40,1.0,1.0,0.0,0.0,3.5,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.4,80,40,1.0,0.7625,0.0,0.0,1.213115,3.157895,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.42,80,40,0.875,0.5,0.125,0.0,1.375,9.8,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.44,80,40,0.75,0.475,0.25,0.0,0.921053,8.772727,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.46,80,40,0.75,0.4125,0.25,0.0,0.515152,10.814815,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.48,80,40,0.75,0.1625,0.25,0.0,0.846154,10.255319,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.5,80,40,0.75,0.125,0.25,0.0,0.1,14.64,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.52,80,40,0.55,0.025,0.45,0.0,0.0,6.166667,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.54,80,40,0.5,0.0,0.5,0.0,0.0,2.175,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.56,80,40,0.5,0.0,0.5,0.0,0.0,3.4,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.58,80,40,0.5,0.0,0.5,0.0,0.0,4.925,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.6,80,40,0.5,0.0,0.5,0.0,0.0,7.05,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,9.025,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,11.25,0,0
grand_sim_v0_3,disturbance_heavy,0.2,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,14.225,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.3,80,40,1.0,1.0,0.0,0.0,11.7875,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.32,80,40,1.0,1.0,0.0,0.0,10.275,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.34,80,40,1.0,1.0,0.0,0.0,9.0125,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.36,80,40,1.0,1.0,0.0,0.0,7.7625,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.38,80,40,1.0,1.0,0.0,0.0,6.675,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.4,80,40,1.0,1.0,0.0,0.0,5.0375,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.42,80,40,1.0,1.0,0.0,0.0,4.0875,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.44,80,40,1.0,1.0,0.0,0.0,3.675,0.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.46,80,40,1.0,0.9875,0.0,0.0,2.253165,1.0,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.48,80,40,0.9125,0.525,0.0875,0.0,1.285714,4.16129,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.5,80,40,0.7625,0.475,0.2375,0.0,0.868421,5.869565,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.52,80,40,0.75,0.425,0.25,0.0,0.470588,7.230769,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.54,80,40,0.75,0.225,0.25,0.0,0.611111,6.952381,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.56,80,40,0.75,0.125,0.25,0.0,0.3,9.32,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.58,80,40,0.75,0.075,0.25,0.0,0.0,13.259259,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.6,80,40,0.6,0.0125,0.4,0.0,0.0,9.765957,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,2.55,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,3.675,0,0
grand_sim_v0_3,stability_heavy,0.05,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,4.975,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.3,80,40,1.0,1.0,0.0,0.0,11.8125,0.0,1,1
grand_sim_v0_3,stability_heavy,0.1,1,0.32,80,40,1.0,1.0,0.0,0.0,10.3125,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.34,80,40,1.0,1.0,0.0,0.0,9.05,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.36,80,40,1.0,1.0,0.0,0.0,7.825,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.38,80,40,1.0,1.0,0.0,0.0,6.725,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.4,80,40,1.0,1.0,0.0,0.0,5.1125,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.42,80,40,1.0,1.0,0.0,0.0,4.1,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.44,80,40,1.0,1.0,0.0,0.0,3.675,0.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.46,80,40,1.0,0.9875,0.0,0.0,2.303797,1.0,1,0
grand_sim_v0_3,stability_heavy,0.1,1,0.48,80,40,0.9125,0.525,0.0875,0.0,1.309524,4.16129,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.5,80,40,0.7625,0.475,0.2375,0.0,0.894737,5.869565,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.52,80,40,0.75,0.4375,0.25,0.0,0.542857,7.44,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.54,80,40,0.75,0.25,0.25,0.0,0.6,7.25,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.56,80,40,0.75,0.1375,0.25,0.0,0.272727,9.489796,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.58,80,40,0.75,0.075,0.25,0.0,0.0,13.222222,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.6,80,40,0.6,0.025,0.4,0.0,0.0,9.956522,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.62,80,40,0.5,0.0,0.5,0.0,0.0,2.525,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.64,80,40,0.5,0.0,0.5,0.0,0.0,3.5,0,0
grand_sim_v0_3,stability_heavy,0.1,1,0.66,80,40,0.5,0.0,0.5,0.0,0.0,4.9,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.3,80,40,1.0,1.0,0.0,0.0,11.8875,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.32,80,40,1.0,1.0,0.0,0.0,10.4,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.34,80,40,1.0,1.0,0.0,0.0,9.1125,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.36,80,40,1.0,1.0,0.0,0.0,7.9625,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.38,80,40,1.0,1.0,0.0,0.0,6.775,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.4,80,40,1.0,1.0,0.0,0.0,5.3625,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.42,80,40,1.0,1.0,0.0,0.0,4.175,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.44,80,40,1.0,1.0,0.0,0.0,3.7125,0.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.46,80,40,1.0,0.9875,0.0,0.0,2.455696,1.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.48,80,40,0.9125,0.525,0.0875,0.0,1.333333,4.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.5,80,40,0.7625,0.4875,0.2375,0.0,0.897436,6.090909,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.52,80,40,0.75,0.4625,0.25,0.0,0.594595,8.0,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.54,80,40,0.75,0.275,0.25,0.0,0.590909,7.552632,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.56,80,40,0.75,0.15,0.25,0.0,0.333333,9.625,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.58,80,40,0.75,0.075,0.25,0.0,0.0,13.166667,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.6,80,40,0.6,0.025,0.4,0.0,0.0,9.869565,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,2.2,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,3.35,0,0
grand_sim_v0_3,stability_heavy,0.2,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,4.725,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.3,80,40,1.0,1.0,0.0,0.0,11.3125,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.32,80,40,1.0,1.0,0.0,0.0,9.8125,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.34,80,40,1.0,1.0,0.0,0.0,8.625,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.36,80,40,1.0,1.0,0.0,0.0,7.4375,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.38,80,40,1.0,1.0,0.0,0.0,5.9375,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.4,80,40,1.0,1.0,0.0,0.0,4.7875,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.42,80,40,1.0,1.0,0.0,0.0,4.25,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.44,80,40,1.0,1.0,0.0,0.0,3.1,0.0,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.46,80,40,1.0,0.7375,0.0,0.0,1.220339,3.142857,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.48,80,40,0.875,0.5,0.125,0.0,1.5,9.2,0,0
